"","logFC","logCPM","LR","PValue"
"WBGene00000001",0.0832225992842523,6.39358169934001,0.151192298584633,0.69739854914194
"WBGene00000002",-0.579680988574362,1.78069203500794,0.768737793332268,0.38060780949201
"WBGene00000003",-0.267485376889503,1.83051688053203,0.172193669349399,0.678169537925416
"WBGene00000004",-0.659042606746924,3.5578726161001,2.04144140038183,0.153064546668258
"WBGene00000005",0.185880036137144,2.76773202847519,0.120346870195411,0.728658584968563
"WBGene00000006",-0.41476559041464,1.26114490395048,0.286172639495208,0.592683697466516
"WBGene00000007",0.407622245257283,4.06363149027176,1.26620266828682,0.260480267353959
"WBGene00000008",0.8477358916056,-1.24578615358885,0.55412903724991,0.45663546256898
"WBGene00000009",0.269886331085651,-0.363710171929387,0.0859620360592954,0.769374763591471
"WBGene00000010",0.0476247559424537,5.9107031862374,0.0423747774252288,0.836907030214491
"WBGene00000012",-0.545203677898475,-2.33126286894085,0.160814614179341,0.688407626241497
"WBGene00000013",0.450994951661786,-1.72281990111834,0.131452050248519,0.716931228900965
"WBGene00000014",0,-3.59875592096187,0,1
"WBGene00000015",0.632125002524925,-2.80021264902133,0.121575414136473,0.72733206753445
"WBGene00000016",-0.0273240339476374,-1.19301808499817,0.00068684227168303,0.97909169357063
"WBGene00000017",0.468228443765289,-1.30959453597661,0.150789722801891,0.697781810462171
"WBGene00000018",-0.1739725965504,4.35323181179984,0.226097451871967,0.634432729915857
"WBGene00000019",-1.77275932559198,0.384038577492431,3.46541209984253,0.0626648909115501
"WBGene00000020",0.280496740532958,3.8092934717778,0.427436132080988,0.51324968823708
"WBGene00000021",-0.920523624660422,-2.24054894956366,0.382969894137189,0.536018069432052
"WBGene00000022",0.611305824826793,6.18496629585579,4.77808727179712,0.0288241197189427
"WBGene00000023",-0.937264143165947,-0.121295717363498,0.945976149351076,0.330745653155657
"WBGene00000024",0,-3.59875592096187,0,1
"WBGene00000025",0,-3.59875592096187,0,1
"WBGene00000026",0,-3.59875592096187,0,1
"WBGene00000027",-0.759929583332642,-3.18278186126155,0.104723621981671,0.74623309400329
"WBGene00000028",0,-3.59875592096187,0,1
"WBGene00000029",0,-3.59875592096187,0,1
"WBGene00000030",0.973644256772644,-3.18630354310805,0.173487405489701,0.677030857167292
"WBGene00000031",-0.161124590517219,-2.59534679894573,0.0122928462655274,0.911716970133157
"WBGene00000032",0,-3.59875592096187,0,1
"WBGene00000033",-0.754149156235885,-3.27692646746058,0.0984804086827461,0.753660880137754
"WBGene00000034",0.380671791099357,-1.99513647888852,0.0959947090375053,0.756690138371786
"WBGene00000035",-0.071274468912706,1.86671086967035,0.0108656022570521,0.916980320174104
"WBGene00000036",0.0204507956314956,2.50970388116745,0.00114569739634618,0.972998238150791
"WBGene00000037",-1.16626437345374,0.238819311654245,1.76697931639333,0.18375635464199
"WBGene00000038",0.336781287664272,-2.41687885014089,0.050479900170763,0.8222303060123
"WBGene00000039",-1.30722763059918,2.64664710643096,2.12045224878055,0.145343620635598
"WBGene00000040",0.298765752575918,7.53884225802592,1.3232966716883,0.250001257162033
"WBGene00000041",-0.00832105442804482,9.6312082228906,0.000868867265694462,0.976484517606761
"WBGene00000042",-0.13715734154137,-1.94064581624918,0.0134710304125156,0.907601210978136
"WBGene00000043",-4.76568012332882,-2.50824062924817,4.30669157336658,0.0379627233444827
"WBGene00000044",0.816606374474601,-0.815976271371813,0.795077679500852,0.372569149369703
"WBGene00000045",0.500371526749296,-2.78164301837757,0.0786110000564504,0.77918863954143
"WBGene00000046",2.20185829619996,-2.09629455401353,2.59390384375855,0.107275635703934
"WBGene00000047",-1.34639270501769,0.184342629165909,2.30193584588977,0.129212868701777
"WBGene00000048",-0.924997328623803,-1.86661657638905,0.673320173101603,0.411896433002261
"WBGene00000049",1.38252025159006,-1.96971458005456,1.34135841134348,0.246794551661035
"WBGene00000050",-0.0721174351272181,0.275943549256849,0.00779845892753617,0.929631178429366
"WBGene00000051",-0.91160073383727,0.455204163579219,1.30831759308198,0.252699490325927
"WBGene00000053",1.54971499754951,-2.52849379455761,0.810496094834503,0.367973620754054
"WBGene00000054",-0.644473941280194,0.154652591324629,0.590436537420366,0.442250362041794
"WBGene00000055",-0.334164758033386,0.665827520997838,0.188717551145722,0.66398613865868
"WBGene00000056",0.0469324602291613,-0.512276195774499,0.00273142130116089,0.958319133720775
"WBGene00000057",-0.0605053406723989,0.274538349825885,0.00526805913820683,0.942139230999289
"WBGene00000058",-0.322270053144742,-1.51382076397322,0.0989332027958363,0.753113607564995
"WBGene00000059",-0.921618915426417,-1.87500123888443,0.511012966222903,0.474700679261309
"WBGene00000060",0.835202188591055,-1.41627955976422,0.539856144948171,0.462492350756827
"WBGene00000061",0,-3.59875592096187,0,1
"WBGene00000062",-0.971603444130274,-1.57887381749946,0.855329265060911,0.355049073099823
"WBGene00000063",-0.0881802392058351,7.32725666262211,0.137060795080174,0.71122064188488
"WBGene00000064",0.0213689330027428,10.4311027923019,0.00488825327011,0.944260482763611
"WBGene00000065",-0.0632025305190246,7.24989564762389,0.0697731218336912,0.79166740108192
"WBGene00000066",-0.294783217682076,9.23335793898009,0.919832719657791,0.337518898453081
"WBGene00000067",0.419258108627675,9.22842537938268,2.27577189629403,0.131409684330427
"WBGene00000068",-0.297567797961514,2.18855064261978,0.239528568186521,0.624546815145235
"WBGene00000069",-0.68888661516869,-0.781908760731251,0.49010329707654,0.483881229609247
"WBGene00000070",0.37960220497708,3.24087165980884,0.587247818347485,0.44348534798966
