transcript_stable_ID,Count...1,Count...2,Count...3,Count...4,Count...5
B0238.15,6,1,4,3,27
B0238.3,0,0,9,0,0
B0238.5,0,0,6,0,0
B0238.6,0,1,3,2,0
B0238.7,0,2,0,10,0
B0238.8,0,0,0,0,0
B0238.9,370,282,230,164,462
B0240.1,33,68,57,86,47
B0240.2,14,10,12,5,7
B0240.3,4,13,24,10,6
B0240.4,957,922,663,427,1139
B0244.10,34,97,57,38,76
B0244.11,0,0,5,3,0
B0244.15,1,4,28,16,0
B0244.2,97,162,270,173,104
B0244.4,0,7,1,16,3
B0244.5,0,23,57,50,6
B0244.6,13,147,179,194,118
B0244.7,0,2,0,7,0
B0244.8,4739,3027,2300,1332,7254
B0244.9,0,0,4,17,2
B0250.1,17016,22037,20363,16710,18336
B0250.10,0,3,0,0,0
B0250.18,3,16,15,1,6
B0250.2,17,86,46,59,30
B0250.5,1329,1037,936,385,1024
B0250.6,0,0,4,0,0
B0250.7,17,18,11,10,30
B0250.8,6,0,5,8,2
B0250.9,17,144,87,43,39
B0252.1,66,68,56,58,68
B0252.2,156,513,521,348,363
B0252.3,99,228,228,157,157
B0252.4,716,1197,905,865,1284
B0252.5,20,0,18,34,11
B0252.8,0,2,10,1,3
B0261.1,283,824,710,295,456
B0261.2,1443,2897,2032,1329,1778
B0261.4,330,667,446,413,507
B0261.5,5,6,5,3,4
B0261.6,31,26,25,51,15
B0261.7,1322,1474,1297,1715,2520
B0261.8,90,250,151,83,143
B0261.9,1,13,8,26,19
B0272.1,75,216,100,61,59
B0272.2,66,93,57,44,53
B0272.3,371,348,192,230,400
B0272.4,98,119,105,161,73
B0273.1,9,111,92,117,24
B0273.115,10,49,78,57,27
B0273.2,1953,1802,1014,741,2736
B0273.3,157,291,231,206,258
B0273.4,79,426,334,73,132
B0280.1,326,432,520,423,407
B0280.10,545,745,690,728,880
B0280.11,7,1,1,4,6
B0280.12,19,48,65,115,25
B0280.13,92,206,279,280,113
B0280.17,40,36,37,38,11
B0280.2,18,106,106,71,21
B0280.3,176,195,161,167,174
B0280.4,22,47,40,15,52
B0280.5,13087,10054,6070,7148,18796
B0280.7,0,13,13,15,10
B0280.8,168,369,195,57,145
B0280.9,296,350,344,221,372
B0281.1,0,1,0,5,0
B0281.3,127,363,376,420,190
B0281.4,14,3,10,0,15
B0281.5,220,241,187,82,345
B0281.6,1,10,39,15,3
B0281.8,0,4,15,3,0
B0284.1,28,1433,1018,444,128
B0284.2,16,369,278,76,43
B0284.3,92,930,679,156,135
B0284.4,5,432,228,48,33
B0285.1,2298,3597,2784,2721,3847
B0285.10,2,0,14,20,1
B0285.3,456,671,464,302,753
B0285.4,636,980,714,650,866
B0285.5,160,180,118,68,183
B0285.6,1,3,12,5,6
B0285.7,146,548,239,36,204
B0285.8,88,318,245,201,200
B0285.9,49,85,61,36,31
B0286.1,68,222,150,126,119
B0286.2,5,9,42,10,4
B0286.3,128,186,127,152,126
B0286.4,281,370,267,136,333
B0286.5,3,9,13,15,2
B0286.6,13,5,2,10,9
B0294.1,1,6,20,18,5
B0294.3,0,5,15,9,0
B0302.1,341,605,487,263,374
B0302.2,0,0,0,0,0
B0302.4,1,0,0,0,3
B0302.5,141,243,264,180,265
B0303.11,185,374,361,222,306
B0303.14,11,39,25,30,36
B0303.15,162,178,174,201,220
B0303.16,10,12,11,16,7
B0303.2,95,295,383,249,228
B0303.3,663,634,363,212,485
B0303.4,213,312,293,175,327
B0303.7,197,278,274,284,232
B0303.8,0,3,7,4,8
B0303.9,126,186,142,58,179
B0304.1,134,409,299,144,190
B0304.2,128,106,63,102,208
B0304.3,1,4,19,11,9
B0304.4,189,265,207,259,352
B0304.5,2,5,5,3,0
B0304.6,4,1,7,7,8
B0304.7,2,4,12,12,0
B0304.8,3,3,12,7,5
B0304.9,0,3,0,0,2
B0310.1,15,21,24,28,25
B0310.2,112,189,142,185,199
B0310.3,10,53,12,1,9
B0310.5,126,189,104,157,200
B0310.6,2,6,8,11,1
B0331.1,8,42,62,55,28
B0331.2,0,8,43,121,2
B0334.1,917,2122,1833,2101,933
B0334.10,129,194,164,177,200
B0334.11,396,545,337,274,620
B0334.13,6,7,11,13,7
B0334.15,207,280,202,103,194
B0334.2,36,35,39,47,28
B0334.20,0,0,0,12,0
B0334.3,1282,2137,2315,2122,1511
B0334.4,428,698,576,395,957
B0334.5,498,614,493,332,650
B0334.6,4,12,19,8,2
B0334.7,0,3,10,4,0
B0334.8,262,270,144,85,256
B0336.1,476,937,725,412,754
B0336.10,10787,17151,19153,23024,16948
B0336.11,46,104,127,62,56
B0336.12,3,15,36,32,5
B0336.13,432,599,408,420,809
B0336.2,551,1010,699,742,574
B0336.3,241,530,442,207,340
B0336.4,125,188,119,57,147
B0336.5,150,97,100,57,221
B0336.6,2547,2634,1889,1787,3817
B0336.7,410,600,566,599,740
B0336.8,713,1168,1071,1322,1213
B0336.9,498,668,641,402,659
B0344.2,0,37,51,20,6
B0348.1,0,3,0,0,0
B0348.2,10,40,74,86,29
B0348.4,307,560,485,278,305
B0348.5,10,13,21,31,14
