transcript_stable_ID,Count...1,Count...2,Count...3,Count...4,Count...5
F13A7.8,1,0,7,1,0
F13B10.1,1170,8165,6879,1583,1629
F13B10.2,10952,15254,15381,16803,13654
F13B12.1,534,1019,943,680,771
F13B12.2,35,65,44,28,22
F13B12.3,17,38,55,47,17
F13B12.4,0,49,1,0,59
F13B12.5,0,4,5,0,1
F13B12.6,680,809,501,427,767
F13B12.7,1,0,7,0,0
F13B6.1,17,101,113,69,23
F13B6.2,29,42,33,58,78
F13B6.3,70,64,127,103,78
F13B9.1,1781,7213,3997,2343,3042
F13B9.2,1,32,18,14,4
F13B9.5,158,473,336,197,173
F13B9.6,12,41,48,26,39
F13B9.8,181,456,646,452,281
F13C5.1,48,72,68,48,27
F13C5.2,361,1158,840,279,607
F13C5.3,0,3,22,2,6
F13C5.5,48,36,25,19,18
F13C5.6,89,364,266,54,143
F13D11.1,100,138,124,100,119
F13D11.2,81,1498,1733,257,141
F13D11.3,176,250,276,241,169
F13D11.4,32,230,113,137,798
F13D12.10,5,38,61,47,17
F13D12.2,655,1870,1263,723,868
F13D12.3,309,908,1090,1741,543
F13D12.4,10784,18248,19392,6247,9457
F13D12.5,179,153,89,109,198
F13D12.6,2155,3575,3741,2236,11608
F13D12.7,464,970,570,189,389
F13D12.8,36,38,76,62,22
F13D12.9,19,8,21,11,7
F13D2.1,139,782,677,361,193
F13D2.2,1,11,5,2,1
F13D2.3,9,22,11,6,5
F13D2.4,56,214,207,108,74
F13E6.1,231,598,634,318,301
F13E6.2,2,24,55,44,11
F13E6.3,7,31,13,9,10
F13E6.4,526,1552,1600,719,707
F13E6.5,109,190,129,61,116
F13E6.6,41,90,121,32,30
F13E9.1,154,193,226,89,199
F13E9.10,1,0,5,4,0
F13E9.11,140,994,627,149,199
F13E9.12,7,13,27,12,4
F13E9.13,24,94,38,16,39
F13E9.14,3,13,27,35,2
F13E9.15,80,236,490,1029,180
F13E9.16,1,6,0,9,1
F13E9.19,0,0,3,12,0
F13E9.2,0,0,0,0,0
F13E9.3,0,2,0,0,1
F13E9.4,0,0,11,4,0
F13E9.5,7,2,0,8,0
F13E9.6,4,1,0,0,0
F13E9.8,0,2,0,6,0
F13E9.9,0,8,37,26,0
F13G11.1,188,643,669,228,185
F13G11.2,9,5,8,16,0
F13G11.3,300,958,1828,2522,1696
F13G3.1,6,34,29,15,20
F13G3.10,718,1086,1037,915,1033
F13G3.11,159,261,260,226,232
F13G3.12,17,30,36,51,24
F13G3.2,3,0,9,2,3
F13G3.3,5,37,52,16,21
F13G3.4,211,372,244,172,379
F13G3.5,188,391,257,218,302
F13G3.6,138,258,208,107,160
F13G3.7,91,138,67,21,95
F13G3.8,12,12,10,10,15
F13G3.9,354,776,613,615,657
F13H10.1,0,20,22,16,2
F13H10.2,467,714,599,895,819
F13H10.3,132,149,91,101,129
F13H10.4,727,815,514,468,986
F13H10.5,7,46,37,62,21
F13H10.6,249,1851,2319,2556,532
F13H10.8,365,682,411,378,516
F13H10.9,3,13,21,3,3
F13H6.1,224,481,401,220,325
F13H6.3,74,81,79,40,1604
F13H6.4,0,1,1,1,2
F13H6.5,15,11,11,23,7
F13H8.1,30,133,270,154,59
F13H8.10,445,574,368,380,636
F13H8.11,52,264,293,300,156
F13H8.12,7,7,19,12,3
F13H8.15,62,131,99,115,114
F13H8.2,267,524,341,141,383
F13H8.3,251,483,404,472,494
F13H8.4,7,37,29,29,10
F13H8.5,9,27,40,27,8
F13H8.6,0,9,9,7,1
F13H8.7,261,566,542,365,298
F13H8.8,12,15,17,19,15
F13H8.9,47,240,253,160,108
F14A5.1,0,0,3,0,0
F14B4.1,80,896,538,59,201
F14B4.2,919,843,534,215,852
F14B4.3,378,465,335,196,439
F14B6.1,17,49,31,13,50
F14B6.2,12,25,14,10,25
F14B6.3,94,226,140,104,247
F14B6.4,5,2,10,2,3
F14B6.5,0,6,2,6,0
F14B6.6,12,11,18,14,26
F14B8.1,25,129,97,40,25
F14B8.2,11,75,67,21,22
F14B8.3,11,32,61,15,51
F14B8.4,145,243,284,292,348
F14B8.5,132,847,739,103,205
F14B8.6,60,248,236,66,100
F14B8.7,1,28,31,9,9
F14D12.1,58,262,145,109,89
F14D12.2,150,324,236,49,115
F14D12.4,2,26,38,13,4
F14D12.5,73,79,74,78,32
F14D12.6,3,18,21,18,5
F14D2.1,362,438,476,613,664
F14D2.11,96,84,130,200,167
F14D2.12,91,152,135,128,155
F14D2.13,111,84,98,116,130
F14D2.14,20,40,50,61,30
F14D2.15,325,378,468,729,700
F14D2.17,2,1,9,0,2
F14D2.19,15,19,45,48,40
F14D2.2,13,13,10,14,9
F14D2.4,48,70,77,71,60
F14D2.5,30,65,104,105,28
F14D2.6,0,0,2,3,1
F14D2.7,0,0,0,0,1
F14D2.8,14,8,21,9,14
F14D7.1,0,0,0,4,0
F14D7.10,23,40,80,223,36
F14D7.11,0,0,0,0,1
F14D7.12,5,11,15,45,4
F14D7.14,2,7,13,61,7
F14D7.18,0,0,3,0,0
F14D7.2,321,277,172,141,561
F14D7.3,1,6,5,4,1
F14D7.5,6,13,24,33,6
F14D7.6,38,17,29,34,22
F14D7.7,41,30,72,199,63
F14D7.8,1,11,29,106,4
F14D7.9,0,0,1,0,0
F14E5.1,7,15,3,15,15
F14E5.2,759,1116,715,380,864
F14E5.3,0,2,0,7,0
F14E5.4,15,12,12,2,25
F14E5.5,121,237,183,89,166
F14E5.6,2,0,2,3,0
F14E5.8,11,10,11,8,6
F14F11.1,22,59,87,26,33
F14F11.2,16,10,17,18,17
F14F3.1,80,388,224,137,89
F14F3.2,160,353,253,106,202
F14F3.3,171,410,188,115,207
F14F3.4,1,3,14,9,7
F14F3.5,55,161,148,142,72
F14F4.1,1,1,0,0,0
F14F4.3,463,1883,1470,508,792
F14F7.1,4009,1832,1060,1308,2225
F14F7.2,4,10,5,1,4
F14F7.3,9,21,18,10,10
F14F7.4,11,4,10,62,7
F14F7.5,4,26,14,3,3
F14F7.7,0,2,0,0,0
F14F8.1,0,0,0,6,0
F14F8.10,0,0,0,0,0
F14F8.11,0,0,0,0,0
F14F8.12,0,3,3,2,0
F14F8.13,0,1,0,3,2
F14F8.14,0,0,0,2,0
F14F8.3,0,0,0,2,0
F14F8.4,0,0,0,0,0
F14F8.5,0,0,0,11,0
F14F8.6,0,1,5,2,1
F14F8.7,0,2,0,0,0
F14F8.8,0,4,0,9,0
F14F8.9,0,0,1,0,0
F14F9.1,1,0,0,14,0
F14F9.2,0,0,0,7,0
F14F9.3,6,258,452,704,51
F14F9.4,195,1159,1348,794,286
F14F9.5,62,130,114,100,38
F14F9.6,2,9,4,19,1
F14F9.7,0,2,0,3,0
F14F9.8,1,10,18,4,10
F14H12.1,0,19,2,9,0
F14H12.17,1,14,16,6,5
F14H12.2,0,2,6,8,1
F14H12.3,4,17,17,38,12
F14H12.4,246,1335,975,295,365
F14H12.6,21,26,17,37,52
F14H12.7,39,50,85,75,64
F14H12.8,32,8,31,13,19
F14H3.1,0,0,0,1,2
F14H3.10,7,12,23,22,21
F14H3.11,13,51,17,12,18
F14H3.12,70,106,113,139,108
F14H3.14,0,2,7,16,3
F14H3.15,0,11,36,79,1
F14H3.2,4,0,9,6,0
F14H3.3,124,106,94,59,244
F14H3.4,154,103,97,33,264
F14H3.5,60,50,39,9,59
F14H3.6,948,816,375,260,1507
F14H3.7,0,10,14,8,0
F14H3.9,0,0,0,0,0
F14H8.1,22,56,75,42,42
F14H8.2,2,2,16,15,0
F14H8.4,0,1,0,2,0
F14H8.5,0,8,8,1,0
F14H8.6,72,441,357,200,75
F14H8.8,8,24,35,30,9
F15A2.1,8632,8831,7928,8292,9588
F15A2.2,17,35,20,45,32
F15A2.3,1,1,9,2,3
F15A2.4,0,0,2,2,0
F15A2.5,21,23,17,14,28
F15A2.6,5,23,21,10,7
F15A4.1,0,1,0,7,0
F15A4.10,142,84,54,93,201
F15A4.11,40,64,66,27,49
F15A4.12,165,351,375,267,256
F15A4.13,22,99,120,35,29
F15A4.2,28,45,36,16,41
F15A4.3,1,0,3,10,1
F15A4.4,0,1,0,4,0
F15A4.5,0,0,0,0,0
F15A4.6,127,200,288,774,148
F15A4.7,0,20,1,0,0
F15A4.8,0,36,14,5,7
F15A4.9,7,24,56,23,7
F15A8.1,0,5,6,4,2
F15A8.4,0,1,1,3,0
F15A8.5,5,28,17,36,12
F15A8.6,24,160,104,68,32
F15B10.1,221,278,200,178,345
F15B10.2,168,174,153,109,173
F15B10.3,24,47,10,16,20
F15B9.1,89,200,417,1312,140
F15B9.10,346,781,586,320,784
F15B9.11,0,2,0,6,2
F15B9.2,17,85,214,698,104
F15B9.3,30,84,83,93,65
F15B9.4,189,234,177,112,229
F15B9.5,69,98,107,104,131
F15B9.6,3,43,97,67,31
F15B9.7,73,1073,928,224,150
F15B9.8,5,22,3,3,3
F15B9.9,0,14,20,4,9
F15C11.1,43,140,188,91,37
F15C11.2,1360,2759,3613,909,1578
F15D3.1,604,3875,2668,1346,1059
F15D3.2,0,4,0,1,1
F15D3.3,0,2,6,0,0
F15D3.4,1,6,13,13,7
F15D3.5,0,1,9,0,3
F15D3.6,338,238,211,34,239
F15D3.7,97,365,325,198,161
F15D3.8,15,124,121,75,34
F15D3.9,13,59,35,32,32
F15D4.1,466,562,483,393,632
F15D4.2,79,292,242,158,126
F15D4.3,251,298,289,244,248
F15D4.4,28,43,100,195,47
F15D4.5,27,1333,2047,944,226
F15D4.6,0,25,59,51,0
F15D4.8,7,35,34,43,12
F15E11.1,457,318,514,189,856
F15E11.10,3,2,11,9,6
F15E11.11,3,5,23,10,6
F15E11.12,7,18,13,8,9
F15E11.13,1664,1459,2029,956,3227
F15E11.14,457,319,514,189,856
F15E11.15,120,108,102,15,224
F15E11.2,0,6,23,23,4
F15E11.3,0,0,0,0,0
F15E11.4,0,1,2,3,3
F15E11.5,0,0,0,0,0
F15E6.1,1468,2419,2445,952,2391
F15E6.10,5,55,86,30,22
F15E6.2,145,115,166,167,157
F15E6.3,338,505,735,283,463
F15E6.4,1804,925,1084,883,1757
F15E6.5,0,1,2,3,0
F15E6.6,59,256,238,247,195
F15E6.7,2,1,14,27,0
F15E6.8,159,138,171,42,176
F15E6.9,8,25,28,35,16
F15G9.1,154,749,914,426,244
F15G9.2,0,3,0,2,0
F15G9.3,0,11,5,6,0
F15G9.4,898,1233,1874,1485,697
F15G9.5,8,24,44,36,17
F15G9.6,6,4,15,12,2
F15H10.1,24,17,10,7,4
F15H10.10,0,460,486,38,26
F15H10.12,0,172,147,37,11
F15H10.2,40,12,5,15,7
F15H10.3,86,51,50,77,87
F15H10.4,5,3,2,2,0
F15H10.5,0,52,81,37,2
F15H10.7,3,14,32,27,4
F15H10.8,0,11,18,13,6
F15H10.9,2,158,136,8,10
F15H9.1,1,2,10,12,0
F15H9.2,0,0,3,5,0
F15H9.3,1,0,1,9,0
F15H9.4,0,2,3,4,1
F16A11.1,200,237,185,39,281
F16A11.2,285,476,402,332,414
F16A11.3,697,851,630,239,711
F16B12.1,1,7,9,13,0
F16B12.2,4,3,27,7,3
F16B12.4,59,104,113,39,57
F16B12.5,0,5,3,3,2
F16B12.6,395,941,602,159,467
F16B12.7,1,7,31,54,3
F16B12.8,0,6,1,13,1
F16B3.1,2,7,17,7,3
F16B3.2,4,0,3,0,1
F16B3.3,24,71,115,56,28
F16B4.1,46,134,144,79,76
F16B4.10,0,4,4,1,0
F16B4.11,16,45,39,48,27
F16B4.12,64,305,414,213,98
F16B4.2,43,240,327,150,59
F16B4.3,0,8,8,7,3
F16B4.4,1526,1325,1326,940,1395
F16B4.5,36,132,108,90,66
F16B4.6,3,7,18,4,3
F16B4.7,52,204,447,696,329
F16B4.8,126,151,96,17,96
F16B4.9,3,54,78,80,33
F16C3.1,12,24,44,31,15
F16C3.2,52,70,75,160,44
F16C3.3,1,3,19,20,3
F16C3.4,10,3,10,20,7
F16D3.1,0,3,3,8,0
F16D3.2,347,483,378,144,451
F16D3.4,290,272,234,124,289
F16D3.6,11,60,70,54,40
F16D3.7,36,138,80,23,73
F16F9.1,29,84,51,11,18
F16F9.2,17,107,62,50,37
F16F9.3,2,13,21,33,4
F16F9.4,9,15,6,16,6
F16F9.5,1,16,11,20,4
F16G10.1,1,30,2,2,16
F16G10.10,0,0,0,2,0
F16G10.11,2,17,11,6,8
F16G10.13,8,3,0,0,3
F16G10.14,0,0,2,0,0
F16G10.15,4,38,32,29,12
F16G10.2,0,0,0,10,0
F16G10.3,0,0,0,5,0
F16G10.4,0,6,1,3,0
F16G10.5,0,0,4,4,0
F16G10.6,2,3,0,2,5
F16G10.7,0,0,0,0,0
F16G10.8,2,2,0,0,1
F16G10.9,1,8,10,5,9
F16H11.1,23,398,336,102,75
F16H11.2,0,0,4,4,0
F16H11.3,22,6,6,18,27
F16H11.4,6,21,37,5,4
F16H11.5,88,270,253,62,50
F16H6.1,1,4,24,39,0
F16H6.10,55,266,400,169,60
F16H6.2,3,0,4,0,2
F16H6.3,0,0,3,1,0
F16H6.4,0,0,0,5,0
F16H6.5,1,0,0,2,0
F16H6.6,0,3,5,2,0
F16H6.7,5,15,21,14,6
F16H6.8,0,3,0,0,1
F16H6.9,0,3,1,3,1
F16H9.1,12,6,9,3,6
F16H9.2,0,2,14,8,0
F17A2.1,0,0,4,1,0
F17A2.10,0,0,0,18,1
F17A2.11,0,0,0,4,0
F17A2.12,0,0,0,0,0
F17A2.13,70,68,29,9,98
F17A2.3,0,2,10,4,0
F17A2.4,0,0,3,3,0
F17A2.5,96,120,46,21,189
F17A2.6,0,0,0,4,2
F17A2.7,0,0,4,0,2
F17A2.8,0,0,0,0,0
F17A2.9,0,0,2,3,0
F17A9.1,0,0,0,0,0
F17A9.2,411,518,362,267,606
F17A9.3,0,6,13,14,5
F17A9.4,237,668,495,269,339
F17A9.5,34,28,41,19,44
F17A9.6,115,63,47,60,121
F17B5.1,11,13,4,12,25
F17B5.10,0,0,4,0,0
F17B5.2,1,0,4,7,1
F17B5.3,0,0,3,0,0
F17B5.4,0,0,2,3,0
F17B5.5,1,0,0,0,0
F17B5.6,0,0,0,0,0
F17B5.8,0,11,0,4,9
F17B5.9,0,0,0,1,0
F17C11.1,876,4154,2640,1422,1274
F17C11.10,1454,1672,1233,970,2133
F17C11.11,1312,4763,4093,2370,1954
F17C11.12,22,166,175,89,60
F17C11.13,6,1,11,10,3
F17C11.17,189,526,546,240,243
F17C11.2,25,36,84,43,61
F17C11.22,11,23,18,24,28
F17C11.3,22,37,65,66,41
F17C11.4,258,441,441,231,347
F17C11.5,4,22,24,20,14
F17C11.6,23,32,103,80,42
F17C11.7,1278,1681,1551,2215,2289
F17C11.8,294,517,393,471,310
F17C11.9,16972,19796,18275,13886,21525
F17C8.1,52,115,96,66,53
F17C8.2,9,23,29,65,8
F17C8.3,20,150,167,118,75
F17C8.4,269,1171,815,683,349
F17C8.5,0,3,12,34,3
F17C8.6,3,17,31,21,18
F17C8.7,51,26,49,90,22
F17C8.9,16,40,46,13,27
F17E5.1,31,101,67,69,68
F17E5.2,34,71,62,21,41
F17E9.1,30,46,68,68,24
F17E9.10,230,989,747,189,481
F17E9.11,1,5,16,18,1
F17E9.12,69,125,94,44,61
F17E9.13,20,50,41,9,22
F17E9.15,0,0,0,0,0
F17E9.16,1,2,0,8,1
F17E9.2,16,31,61,53,30
F17E9.3,0,80,225,244,33
F17E9.4,719,1108,654,475,725
F17E9.5,245,2,6,180,0
F17E9.7,1,4,2,0,0
F17E9.8,3,8,12,8,3
F17E9.9,278,490,190,47,300
F17H10.1,248,229,177,91,244
F17H10.2,24,119,106,114,94
F17H10.3,146,520,424,259,204
F17H10.4,0,0,3,3,0
F18A1.1,13,19,35,45,12
F18A11.1,1147,1112,544,474,1554
F18A11.2,81,184,199,95,103
F18A11.3,111,286,238,170,213
F18A11.5,12,33,26,25,27
F18A1.2,891,1009,650,242,1027
F18A12.1,1,1,1,3,0
F18A12.2,0,1,13,5,1
F18A12.3,0,0,0,11,0
F18A12.4,5,1,0,3,0
F18A12.5,2,1,2,9,0
F18A12.6,1,0,3,6,0
F18A12.7,15,1,4,1,13
F18A12.8,22,31,36,40,18
F18A1.3,182,276,181,122,209
F18A1.4,92,113,64,31,45
F18A1.5,3827,6099,4098,3133,5465
F18A1.6,810,1019,788,587,946
F18A1.7,4428,3551,2450,2953,7929
F18A1.8,710,733,725,673,1297
F18C12.1,27,121,126,123,45
F18C12.2,1132,1382,1078,457,1208
F18C12.3,441,779,607,475,618
F18C12.4,0,2,6,3,5
F18C5.1,0,0,5,9,0
F18C5.10,26,73,72,24,36
F18C5.2,427,465,436,402,552
F18C5.3,1345,2476,1986,1285,1681
F18C5.4,3,9,9,41,4
F18C5.5,0,3,1,6,0
F18C5.6,0,0,0,18,0
F18C5.8,0,1,3,0,0
F18C5.9,9,62,25,17,2
F18E2.1,308,217,296,345,590
F18E2.15,2,0,3,4,0
F18E2.2,537,1265,1010,647,759
F18E2.3,1109,1805,1078,361,1241
F18E2.4,2,6,4,9,7
F18E2.5,6,14,48,24,27
F18E3.1,0,0,1,12,0
F18E3.10,0,1,0,0,0
F18E3.11,116,74,183,132,114
F18E3.12,1255,421,1331,1247,1446
F18E3.13,380,406,353,450,255
F18E3.2,0,0,0,0,0
F18E3.4,0,6,1,10,0
F18E3.5,0,0,0,2,3
F18E3.6,1,11,2,0,0
F18E3.7,1342,612,956,1023,824
F18E9.1,22,133,53,51,58
F18E9.2,56,48,57,41,40
F18E9.3,360,603,653,609,575
F18E9.4,5,11,8,13,1
F18E9.5,224,1236,580,198,323
F18E9.6,0,0,2,0,0
F18E9.7,4,0,0,3,0
F18E9.8,0,0,0,5,2
F18F11.1,275,379,462,281,307
F18F11.3,8,158,62,37,16
F18F11.4,1,5,12,18,8
F18F11.5,24,38,39,21,38
F18G5.1,3,9,17,0,3
F18G5.2,194,476,418,300,296
F18G5.3,15,24,32,30,13
F18G5.4,4,21,29,45,13
F18G5.5,2,5,10,3,0
F18G5.6,107,299,270,164,211
F18H3.1,63,199,189,87,106
F18H3.3,2244,10575,11086,5096,4695
F18H3.4,207,1096,1794,702,411
F18H3.5,46,54,27,33,46
F19B10.1,117,442,344,227,260
F19B10.10,182,233,266,145,253
F19B10.11,0,12,26,21,1
F19B10.13,41,1502,3228,788,389
F19B10.2,118,212,161,49,226
F19B10.3,0,0,0,0,0
F19B10.4,10,77,86,63,30
F19B10.5,31,38,41,19,48
F19B10.6,0,1,3,1,0
F19B10.7,1,7,14,14,2
F19B10.8,3,6,16,2,2
F19B10.9,19,28,26,19,43
F19B2.3,0,0,1,4,0
F19B2.5,197,642,1354,706,292
F19B2.6,36,126,161,77,60
F19B2.7,0,2,7,2,0
F19B2.8,0,0,1,0,0
F19B6.1,172,232,128,68,173
F19B6.2,222,248,192,214,312
F19B6.3,1,0,5,13,0
F19B6.4,3,2,0,6,0
F19C6.1,76,163,128,71,105
F19C6.2,79,326,195,81,92
F19C6.3,1,11,13,1,6
F19C6.4,26,99,69,50,28
F19C6.5,82,258,95,49,101
F19C7.1,1575,2318,2386,2328,2786
F19C7.2,12,311,419,345,36
F19C7.3,27,120,55,33,33
F19C7.4,7,9,16,19,6
F19C7.5,2,8,17,22,8
F19C7.6,1,1,2,0,1
F19C7.7,9,3,5,0,13
F19C7.8,5,22,43,34,6
F19D8.1,0,6,8,8,0
F19D8.2,3,34,46,57,9
F19F10.1,15,6,15,7,25
F19F10.10,164,210,153,119,239
F19F10.11,215,319,262,218,350
F19F10.12,302,342,308,246,370
F19F10.3,67,121,141,183,107
F19F10.4,87,66,62,117,40
F19F10.5,4,1,1,0,9
F19F10.6,1,0,2,0,1
F19F10.7,0,0,4,2,3
F19F10.8,0,1,0,5,1
F19F10.9,1275,2594,2506,1346,2030
F19G12.1,0,2,6,0,0
F19G12.10,2,9,10,0,3
F19G12.11,0,0,2,8,0
F19G12.2,2,11,8,14,0
F19G12.3,6,62,54,19,5
F19G12.4,0,9,5,4,6
F19G12.5,0,0,0,5,0
F19G12.7,0,0,5,8,1
F19G12.8,13,44,66,48,26
F19G12.9,75,143,204,220,127
F19H6.1,5,32,16,18,15
F19H6.2,0,4,6,11,1
F19H6.3,6,6,2,12,21
F19H6.4,170,159,78,100,278
F19H6.5,0,0,6,11,0
F19H6.6,4,1,0,3,1
F19H8.1,509,1145,1280,1158,855
F19H8.2,18,49,39,75,22
F19H8.3,3,15,21,16,6
F19H8.4,37,196,103,30,76
F19H8.5,20,34,32,3,7
F20A1.1,1214,2212,4409,6349,2755
F20A1.10,102,175,402,1090,198
F20A1.2,0,2,0,9,0
F20A1.3,1,0,5,1,1
F20A1.4,6,3,15,26,0
F20A1.6,28,72,89,303,59
F20A1.7,3,109,121,75,15
F20A1.8,0,2,5,37,3
F20A1.9,319,322,286,377,416
F20B10.1,15,192,156,22,52
F20B10.3,1,29,23,10,0
F20B4.6,33,22,15,26,36
F20B6.1,0,0,1,0,0
F20B6.2,630,815,494,168,431
F20B6.3,10,39,44,23,16
F20B6.4,2,9,8,10,11
F20B6.5,0,2,2,2,1
F20B6.6,0,2,1,2,2
F20B6.7,8,4,2,22,10
F20B6.8,611,1265,962,500,785
F20B6.9,3,7,3,6,5
F20C5.1,129,181,133,70,146
F20C5.2,56,393,354,204,95
F20C5.3,574,480,401,411,752
F20C5.4,19,101,93,80,58
F20C5.5,7,26,39,17,7
F20C5.6,282,2239,1994,602,479
F20C5.7,5,7,17,6,7
F20D1.1,240,593,470,157,314
F20D1.10,222,1734,2093,1192,563
F20D1.2,256,1223,1253,654,444
F20D12.1,806,786,935,440,730
F20D12.2,819,1199,930,476,998
F20D12.3,1,3,9,15,2
F20D12.4,1155,1040,905,670,1367
F20D12.5,216,536,309,153,288
F20D12.6,25,44,42,60,44
F20D12.7,0,0,0,0,0
F20D1.3,736,3439,3342,2650,1448
F20D1.4,269,944,743,259,547
F20D1.6,126,485,490,209,155
F20D1.7,3,5,14,11,1
F20D1.8,12,103,70,8,16
F20D1.9,49,85,35,25,43
F20D6.1,5,7,1,10,0
F20D6.10,12,54,23,8,11
F20D6.11,68,127,51,37,41
F20D6.12,0,2,3,2,0
F20D6.2,0,12,8,7,3
F20D6.3,26,68,62,76,19
F20D6.4,355,562,465,429,531
F20D6.5,17,50,54,124,17
F20D6.6,2,2,2,7,0
F20D6.8,23,31,49,39,39
F20D6.9,0,0,0,0,0
F20E11.1,0,0,0,0,0
F20E11.10,0,0,2,1,0
F20E11.12,0,0,1,7,0
F20E11.15,1,0,0,1,0
F20E11.17,3,1476,2196,2500,46
F20E11.18,0,1,1,4,0
F20E11.2,0,0,0,1,0
F20E11.4,0,1,5,5,0
F20E11.5,0,2,0,5,0
F20E11.6,0,0,5,0,1
F20E11.7,0,4,0,3,0
F20G2.1,18,12,30,37,15
F20G2.2,124,207,142,83,125
F20G2.3,56,145,179,85,95
F20G2.4,5,2,4,0,1
F20G2.5,45,163,187,115,50
F20G2.6,5,20,13,5,3
F20G4.1,480,650,525,319,513
F20G4.2,312,291,157,37,395
F20G4.3,4170,6649,5262,3769,5430
F20H11.1,135,212,237,190,223
F20H11.2,1576,2797,2853,2102,2326
F20H11.3,676,404,277,200,641
F20H11.4,15,22,24,19,20
F20H11.5,652,1032,1448,1337,1118
F21A10.1,10,10,16,5,6
F21A10.2,538,1714,1442,342,588
F21A10.4,3,22,15,10,7
F21A3.1,0,2,0,11,3
F21A3.11,89,191,201,119,149
F21A3.2,0,2,3,2,0
F21A3.3,15,14,13,16,15
F21A3.4,10,21,21,20,16
F21A3.5,52,66,37,31,49
F21A3.6,14,17,36,39,12
F21A3.7,13,21,21,15,20
F21A9.1,11,68,51,28,21
F21A9.2,7,8,19,5,1
F21C10.1,0,2,6,12,2
F21C10.10,971,2099,2737,3096,1092
F21C10.11,146,276,753,1227,212
F21C10.12,0,8,20,8,0
F21C10.13,1,6,10,14,11
F21C10.3,36,242,308,205,73
F21C10.4,14,182,288,182,32
F21C10.5,0,3,6,5,0
F21C10.6,0,5,8,1,0
F21C10.7,763,2717,2600,557,1034
F21C10.8,515,601,1635,2193,607
F21C10.9,151,213,94,82,83
F21C3.1,64,109,116,139,85
F21C3.2,1,6,28,118,2
F21C3.3,476,621,659,647,702
F21C3.4,1468,1981,1348,1032,1926
F21C3.5,841,1032,849,385,879
F21C3.6,4,7,0,12,0
F21C3.7,4,7,19,43,2
F21D12.1,33,46,22,22,24
F21D12.2,0,0,2,6,0
F21D12.3,82,129,158,90,74
F21D12.5,0,1,7,7,1
F21D5.1,658,443,354,202,532
F21D5.2,971,960,727,387,1454
F21D5.3,400,711,967,669,943
F21D5.4,60,73,69,99,83
F21D5.5,383,635,556,782,638
F21D5.6,180,314,253,160,314
F21D5.7,529,909,700,349,620
F21D5.8,412,857,965,901,681
F21D5.9,28,110,34,4,22
F21D9.1,15,34,14,5,12
F21D9.11,23,80,47,29,36
F21D9.2,4,0,1,1,0
F21D9.3,0,0,0,0,0
F21D9.4,8,65,55,27,7
F21D9.8,0,2,1,8,0
F21E9.2,5,45,41,9,4
F21E9.3,126,210,220,106,88
F21E9.4,0,2,3,8,3
F21E9.6,0,0,0,1,0
F21F12.1,1,7,9,0,2
F21F3.1,52,65,72,72,50
F21F3.2,12,4,1,4,0
F21F3.3,52,43,43,106,39
F21F3.4,38,35,27,28,32
F21F3.5,20,23,38,37,33
F21F3.6,1167,2186,1792,592,1852
F21F3.7,89,217,182,71,196
F21F8.1,0,0,2,1,1
F21F8.10,0,1,3,3,2
F21F8.11,8,30,34,23,7
F21F8.2,5,2,21,12,6
F21F8.3,14566,24534,31887,38782,28387
F21F8.4,157,329,346,723,167
F21F8.5,0,0,0,13,1
F21F8.6,0,0,0,0,0
F21F8.7,24293,48344,53899,58684,39207
F21F8.9,0,0,2,4,0
F21G4.1,75,242,180,153,80
F21G4.2,909,649,304,184,863
F21G4.3,0,8,12,8,0
F21G4.4,45,91,48,16,74
F21G4.5,7,20,13,29,8
F21G4.6,183,566,546,219,253
F21H11.2,1384,2625,1878,1417,1825
F21H11.3,61,96,62,9,55
F21H12.1,320,353,266,204,358
F21H12.2,0,0,1,0,0
F21H12.3,1,1,0,0,0
F21H12.4,325,351,229,74,289
F21H12.5,99,74,58,28,101
F21H12.6,689,817,492,468,712
F21H12.7,12,11,3,8,13
F21H7.1,40,112,48,47,48
F21H7.10,0,4,3,3,2
F21H7.11,0,0,1,2,0
F21H7.12,14,181,227,371,49
F21H7.14,0,3,1,0,1
F21H7.2,37,148,264,413,28
F21H7.3,28,196,210,378,83
F21H7.4,10,47,49,65,8
F21H7.5,49,52,64,41,4
F21H7.7,0,0,3,2,0
F21H7.9,0,0,1,12,1
F22A3.1,152,173,197,174,153
F22A3.2,87,278,379,726,166
F22A3.3,5,18,30,27,6
F22A3.5,37,105,22,54,54
F22A3.6,8002,4808,2415,453,14083
F22A3.7,105,345,468,476,190
F22B3.1,1763,2291,2041,721,2714
F22B3.10,0,1,2,2,0
F22B3.2,833,1387,857,415,1036
F22B3.4,4715,3057,1897,1902,6171
F22B3.5,0,4,6,5,0
F22B3.7,0,0,6,8,1
F22B3.8,9,2,5,13,2
F22B5.1,96,171,114,85,151
F22B5.10,520,840,644,498,805
F22B5.2,142,517,437,101,217
F22B5.3,1,7,24,3,7
F22B5.4,23,260,98,35,288
F22B5.5,12,11,64,18,13
F22B5.6,21,72,58,71,54
F22B5.7,1494,2569,2010,673,2024
F22B5.9,813,1054,1001,1159,800
F22B7.1,2,4,2,6,1
F22B7.10,80,190,121,78,105
F22B7.13,313,468,238,94,355
F22B7.2,0,0,0,0,0
F22B7.3,0,0,0,0,0
F22B7.4,0,47,7,6,5
F22B7.5,333,557,510,280,437
F22B7.6,444,594,432,427,852
