GeneID	Count	CPM	RPKM
2L52.1	0	0	0
2RSSE.1	15	3.01160712684667	2.91822396012275
2RSSE.2	11	2.20851189302089	3.3160839234548
3R5.1	23	4.61779759449823	7.12623085570715
4R79.1	60	12.0464285073867	11.6390613597939
4R79.2	74	14.8572618257769	12.5061126479604
6R55.2	0	0	0
AC3.1	0	0	0
AC3.10	0	0	0
AC3.12	0	0	0
AC3.2	42	8.43249995517069	5.34378957868865
AC3.3	0	0	0
AC3.4	0	0	0
AC3.5	1105	221.855058344372	67.7833969888089
AC3.6	14	2.81083331839023	2.87406269774052
AC3.7	83	16.6642261018849	10.4806453470974
AC3.8	149	29.9152974600103	18.7439207142922
AC7.1	7	1.40541665919511	1.18301065588814
AC7.2	28	5.62166663678046	3.34623014094075
AC7.3	14	2.81083331839023	3.95335206524646
AC8.10	11	2.20851189302089	1.67311507047037
AC8.11	23	4.61779759449823	7.06085259097589
AC8.12	0	0	0
AC8.3	11	2.20851189302089	1.67311507047037
AC8.4	23	4.61779759449823	7.06085259097589
AC8.7	0	0	0
AH10.1	0	0	0
AH10.2	0	0	0
AH10.3	0	0	0
AH10.4	0	0	0
AH6.1	0	0	0
AH6.10	0	0	0
AH6.11	0	0	0
AH6.12	2	0.40154761691289	0.405603653447364
AH6.14	0	0	0
AH6.17	0	0	0
AH6.2	0	0	0
AH6.3	0	0	0
AH6.4	0	0	0
AH6.5	81	16.262678484972	11.5831043340257
AH6.6	0	0	0
AH6.7	21	4.21624997758534	4.25883836119732
AH6.8	11	2.20851189302089	2.2308200939605
AH9.1	35	7.02708329597557	5.68534247247215
AH9.2	31	6.22398806214979	6.93867119526175
AH9.3	19	3.81470236067245	4.98653903355876
AH9.4	12	2.40928570147734	2.20026091459118
AH9.6	12	2.40928570147734	3.00784731769955
B0001.1	46	9.23559518899647	11.3181313590643
B0001.2	123	24.6951784401427	8.87996348081364
B0001.3	90	18.06964276108	10.174348401509
B0001.4	0	0	0
B0001.5	100	20.0773808456445	12.0802532163926
