GeneID	Count	CPM	RPKM
2L52.1	17	2.48738366474024	1.93721469216529
2RSSE.1	44	6.43793419109238	6.23830832470192
2RSSE.2	1	0.14631668616119	0.219694723965751
3R5.1	18	2.63370035090143	4.0643523933664
4R79.1	15	2.19475029241786	2.12053168349551
4R79.2	23	3.36528378170738	2.83273045598264
6R55.2	0	0	0
AC3.1	2	0.292633372322381	0.27400128494605
AC3.10	5	0.731583430805952	0.692787339778364
AC3.12	0	0	0
AC3.2	117	17.1190522808593	10.8485755898982
AC3.3	0	0	0
AC3.4	0	0	0
AC3.5	587	85.8878947766188	26.2413366259147
AC3.6	3	0.438950058483571	0.448824190678498
AC3.7	117	17.1190522808593	10.7666995477102
AC3.8	159	23.2643530996293	14.5766623431261
AC7.1	34	4.97476732948048	4.18751458710478
AC7.2	150	21.9475029241786	13.0639898358206
AC7.3	0	0	0
AC8.10	5	0.731583430805952	0.554229871822691
AC8.11	30	4.38950058483571	6.71177459455002
AC8.12	0	0	0
AC8.3	5	0.731583430805952	0.554229871822691
AC8.4	30	4.38950058483571	6.71177459455002
AC8.7	0	0	0
AH10.1	5	0.731583430805952	0.430090200356233
AH10.2	0	0	0
AH10.3	4	0.585266744644762	1.12768158891091
AH10.4	0	0	0
AH6.1	0	0	0
AH6.10	0	0	0
AH6.11	0	0	0
AH6.12	0	0	0
AH6.14	0	0	0
AH6.17	1	0.14631668616119	0.786648850328981
AH6.2	0	0	0
AH6.3	0	0	0
AH6.4	0	0	0
AH6.5	642	93.9353125154843	66.9054932446469
AH6.6	0	0	0
AH6.7	8	1.17053348928952	1.18235705988841
AH6.8	4	0.585266744644762	0.591178529944204
AH9.1	17	2.48738366474024	2.01244633069599
AH9.2	51	7.46215099422071	8.31900891217471
AH9.3	92	13.4611351268295	17.596255067751
AH9.4	0	0	0
AH9.6	4	0.585266744644762	0.730670093189466
B0001.1	37	5.41371738796405	6.63445758328927
B0001.2	267	39.0665552050379	14.0476645828975
B0001.3	179	26.1906868228531	14.7470083462011
B0001.4	42	6.14530081877	8.2266409889826
B0001.5	228	33.3602044447514	20.0723251773474
B0001.6	592	86.6194782074248	42.7750509666295
B0001.7	41	5.99898413260881	2.71693121947863
