GeneID	Count	CPM	RPKM
2L52.1	6	0.747810378987171	0.582406837217423
2RSSE.1	14	1.7448908843034	1.69078574060407
2RSSE.2	0	0	0
3R5.1	70	8.724454421517	13.4636642307361
4R79.1	34	4.23759214759397	4.09429193004248
4R79.2	76	9.47226480050417	7.97328686911125
6R55.2	3	0.373905189493585	1.44924492051777
AC3.1	36	4.48686227392303	4.20118190442231
AC3.10	28	3.4897817686068	3.30471758390795
AC3.12	6	0.747810378987171	2.62389606662165
AC3.2	152	18.9445296010083	12.0054053238329
AC3.3	16	1.99416101063246	1.56037637764668
AC3.4	19	2.36806620012604	1.85294694845543
AC3.5	687	85.6242883940311	26.1607969428754
AC3.6	44	5.48394277923925	5.60730345525486
AC3.7	314	39.1354098336619	24.6134653041899
AC3.8	229	28.541429464677	17.883101168344
AC7.1	71	8.84908948468152	7.44872852245919
AC7.2	16	1.99416101063246	1.18700060156694
AC7.3	50	6.23175315822643	8.76477237443942
AC8.10	31	3.86368695810038	2.92703557431847
AC8.11	57	7.10419860037812	10.8626889914039
AC8.12	8	0.997080505316228	1.44504421060323
AC8.3	31	3.86368695810038	2.92703557431847
AC8.4	57	7.10419860037812	10.8626889914039
AC8.7	8	0.997080505316228	1.44504421060323
AH10.1	12	1.49562075797434	0.879259704864399
AH10.2	0	0	0
AH10.3	19	2.36806620012604	4.56274797712147
AH10.4	0	0	0
AH6.1	65	8.10127910569435	2.37295814460877
AH6.10	14	1.7448908843034	1.76251604475091
AH6.11	0	0	0
AH6.12	5	0.623175315822643	0.629470015982467
AH6.14	24	2.99124151594868	3.00325453408502
AH6.17	0	0	0
AH6.2	75	9.34762973733964	9.44205023973701
AH6.3	0	0	0
AH6.4	3	0.373905189493585	0.375406816760628
AH6.5	95	11.8403310006302	8.43328418848306
AH6.6	14	1.7448908843034	1.76251604475091
AH6.7	3	0.373905189493585	0.37768200958948
AH6.8	37	4.61149733708755	4.65807811827026
AH9.1	1	0.124635063164528	0.100837429744764
AH9.2	24	2.99124151594868	3.33471740908437
AH9.3	22	2.74197138961963	3.58427632630017
AH9.4	25	3.11587657911321	2.845549387318
AH9.6	12	1.49562075797434	1.86719195752103
B0001.1	44	5.48394277923925	6.72051811181281
B0001.2	211	26.2979983277155	9.45631007828677
B0001.3	295	36.7673436335359	20.7023331269909
B0001.4	13	1.62025582113887	2.16901716350585
B0001.5	59	7.35346872670718	4.42446975132803
B0001.6	290	36.1441683177133	17.8489720087473
B0001.7	6	0.747810378987171	0.338682236860132
B0001.8	43	5.35930771607473	3.63836233270518
B0019.1	47	5.85784796873284	2.69326343390016
B0019.2	272	33.9007371807518	15.1072803835792
B0024.1	110	13.7098569480981	15.3354104564856
B0024.10	1377	171.622481977556	99.664623680346
B0024.11	2460	306.60225538474	176.817909679781
B0024.12	306	38.1383293283457	76.5829906191681
B0024.13	95	11.8403310006302	12.7315387103551
B0024.14	73	9.09835961101058	3.13628390589817
B0024.15	16	1.99416101063246	1.92672561413764
B0024.2	12	1.49562075797434	1.67295386798025
B0024.3	1	0.124635063164528	0.162921651195462
B0024.4	1101	137.223204544146	116.984829108394
B0024.6	33	4.11295708442944	1.26125638896947
B0024.8	60	7.47810378987171	1.94286926211268
B0024.9	1192	148.564995292118	339.189486968306
B0025.1	100	12.4635063164529	4.60587816572537
B0025.2	1557	194.056793347171	130.414511658045
B0025.4	749	93.3516623102318	208.840407852868
B0025.5	28	3.4897817686068	15.719737696427
B0034.1	0	0	0
B0034.2	14	1.7448908843034	14.540757369195
B0034.3	31	3.86368695810038	1.30750827685292
B0034.4	2	0.249270126329057	0.382903419860303
B0034.5	14	1.7448908843034	1.59350765689808
B0034.7	55	6.85492847404907	28.9237488356501
B0035.1	303	37.7644241388521	36.8074309345537
B0035.10	205	25.5501879487283	62.1659074178305
B0035.11	173	21.5618659274634	16.6758437180692
B0035.12	86	10.7186154321495	4.26866405103523
B0035.13	321	40.0078552758136	44.7515159684716
B0035.14	54	6.73029341088454	5.58067447005351
B0035.15	177	22.0604061801215	25.8924955165746
B0035.16	236	29.4138749068287	26.0761302365503
B0035.18	228	28.4167944015125	104.090821983562
B0035.2	40	4.98540252658114	4.91657053903466
B0035.3	818	101.951481668584	166.58738834736
B0035.4	78	9.72153492683322	25.5158397029743
B0035.5	97	12.0896011269593	7.70529071189246
B0035.6	46	5.73321290556831	2.62509748423457
B0035.7	327	40.7556656548008	106.134545976044
B0035.8	801	99.8326855947873	268.36743439459
