transcript_stable_ID,Nr01,Nr02,Nr03,Nr04,Nr05,Nr06,Nr07,Nr08,Nr09,Nr10,Nr11,Nr12
2L52.1a,486,267,351,241,374,334,345,463,441,330,334,500
4R79.2a,17,12,14,12,7,13,10,14,19,18,19,15
6R55.2,0,0,1,1,1,0,1,1,2,1,4,1
PAR2.3a,74,34,43,48,68,59,63,65,68,29,40,38
T01C8.1a,231,155,171,125,170,198,206,233,193,136,162,237
F55F3.1,362,186,306,190,309,232,287,328,322,237,297,336
Y47D3A.15,635,392,417,306,402,439,470,606,497,386,312,513
Y110A7A.10,2740,1539,1722,1593,1746,1801,1811,2459,1660,2219,1231,2026
F27C8.1,290,155,215,153,253,179,259,327,326,278,314,320
F07C3.7,266,135,223,191,246,164,236,282,299,230,331,279
F52H2.2a,919,615,810,423,709,782,809,1118,952,722,675,1025
T13A10.10a,364,146,251,198,281,190,229,247,284,224,295,270
C55C2.5a,1,0,1,1,1,4,1,2,2,2,1,2
T11F9.4a,7,3,14,1,6,5,5,3,13,5,10,7
F54D12.3,28,6,12,17,28,4,27,23,17,12,20,22
F28F9.4,31,13,17,14,26,14,23,30,26,18,27,22
Y53H1C.1a,124,57,74,51,67,75,71,102,51,47,39,84
Y39E4B.1,4811,2519,3027,2643,3144,2920,2937,3663,2955,2795,2267,3361
F18E2.2,6875,2832,3810,3491,4262,3383,3436,4278,4020,3608,3723,3956
T27E9.7,4402,2067,2648,2358,3010,2540,2813,3363,2897,2199,2536,2823
F42A10.1,5506,2588,3038,2773,3462,2879,2924,3670,3340,2745,2779,3363
C56E6.5,11,8,9,3,8,6,10,20,15,15,22,11
C56E6.1,166,82,77,72,82,97,80,124,105,81,69,124
C50F2.9,2,1,11,1,5,5,11,9,7,6,4,6
C50F2.10,50,27,52,36,31,25,26,28,50,50,67,34
F54B8.5,0,0,3,1,5,2,0,0,5,0,1,0
Y38H6C.22,16,5,11,13,21,11,11,6,16,8,9,2
T22H6.5,610,181,355,324,443,219,251,299,326,337,493,302
T22H6.7,350,103,167,183,235,147,138,193,241,167,256,169
B0336.6,5531,3154,3325,2935,3238,3455,3387,4576,3079,3577,2147,3614
M79.1a,161,86,107,105,123,114,133,157,146,70,129,141
C24F3.5a,26,14,15,18,20,19,16,32,24,12,19,29
F12B6.1a,527,230,307,206,346,297,309,333,404,233,314,363
Y39D8C.1,3293,1498,1991,1423,2403,1793,1851,2086,2464,1613,2328,2154
Y53C10A.9,39,8,31,10,21,19,14,41,25,20,20,26
F56F4.6,0,0,0,0,0,0,0,0,1,0,0,0
Y74C10AR.3a,504,292,319,256,315,340,332,426,371,308,248,346
F52B5.1a,26,13,19,6,11,15,12,19,16,6,4,19
F52D10.1,62,25,32,26,27,20,34,54,35,44,36,43
F57F10.1a,14,7,9,5,5,8,8,12,15,14,9,18
R03E9.3a,44,20,33,20,20,19,30,29,36,21,31,36
AC3.3,0,0,0,0,0,0,0,0,0,0,0,0
F35A5.3,28,20,15,9,23,17,31,30,21,12,6,29
T01D1.6,12,5,7,6,9,8,21,24,16,15,8,26
F19G12.7,3,1,0,0,0,0,0,0,0,0,0,1
F31A3.1,0,0,2,1,0,1,0,0,0,0,2,0
Y5H2A.3,0,0,1,0,0,0,0,0,2,0,0,1
Y105C5A.4,0,0,0,0,0,0,0,0,0,0,0,0
C03A7.7,0,0,0,0,0,0,0,0,0,1,0,0
C03A7.8,0,0,0,0,0,1,0,0,0,0,0,0
C03A7.14,5,2,1,2,9,0,11,8,14,4,4,9
R09F10.2,0,0,0,0,0,0,0,0,0,0,0,0
AC3.5a,1174,423,838,613,862,676,687,933,925,922,949,983
AC7.3,1,1,0,0,0,0,0,0,0,0,0,0
AC8.10,0,0,0,0,0,0,0,0,0,0,0,0
AC8.11,0,0,0,0,0,0,0,0,0,0,0,0
AC8.12,0,0,0,0,0,0,0,0,0,0,0,0
AC8.3,0,0,0,0,0,0,0,0,0,0,0,0
AC8.4,0,0,0,0,0,0,0,0,0,0,0,0
AC8.7,0,0,0,0,0,0,0,0,0,0,0,0
C44E4.6,6410,2260,4092,3746,4634,2670,3157,3617,4191,3713,4831,3447
F47B10.7,1205,371,760,576,835,478,647,751,1122,702,1239,846
F56C9.5,12,8,7,4,15,4,10,5,8,7,15,6
T12D8.3,1660,912,927,904,1036,1025,1077,1294,962,972,712,1065
Y17G7B.1,193,109,173,114,163,128,109,160,142,102,105,153
F26A1.15,22,8,17,16,14,12,13,19,21,18,17,20
F58G6.4a,20,14,13,9,17,5,27,21,28,15,35,22
C53D6.3,33,15,37,18,28,17,27,21,35,26,37,23
F55D10.5,13,7,16,9,7,5,15,10,13,10,17,13
T27E9.9,23,7,22,16,16,17,30,40,23,30,16,39
C55B7.4a,15406,5607,9958,8152,11778,6516,8069,8603,11652,9544,13592,9601
T08G2.3,3925,2292,2597,1962,2759,2477,2541,3453,2726,2051,2234,2936
Y45F3A.3a,21,7,12,12,16,5,16,12,17,12,8,14
E04F6.5a,1417,841,993,781,1056,971,927,1287,980,982,796,1060
C28C12.9,43,19,32,25,20,10,25,21,26,23,28,24
C17C3.12a,254,120,181,127,210,137,150,195,208,164,203,196
K06A5.6,6763,2903,4422,3939,4934,3396,3748,4815,4276,4836,4461,4245
T10E9.9a,171,59,88,87,123,84,85,84,105,91,126,95
C37A2.3,10,4,15,6,11,3,7,2,2,11,6,7
C02D5.1,11,9,7,6,9,8,16,31,29,22,18,24
T25G12.5,3024,1754,2027,1343,1821,2070,1932,2481,1922,1407,1544,2255
K05F1.3,13,7,7,3,10,5,9,7,3,7,11,6
F28A10.6,3780,1730,2339,1850,2843,2077,2238,2592,2658,2129,2717,2563
W09B12.1,112,55,83,42,98,84,111,147,111,98,123,122
Y44E3A.2,155,95,118,59,127,131,148,225,189,111,135,199
Y48B6A.8,130,70,82,62,90,84,127,193,197,141,133,226
Y48B6A.7,18,7,9,8,9,10,9,18,13,9,15,11
F59F4.4,1317,663,819,593,930,760,825,851,893,585,712,869
F28B3.9,690,315,401,375,388,419,368,462,407,419,315,466
C01C10.3,747,292,535,373,614,376,496,583,661,529,641,591
F08G5.2a,6,2,7,2,2,7,7,2,3,4,1,3
K07B1.5,671,289,462,402,414,353,372,408,432,399,453,493
T06E8.1a,3438,1181,2080,1851,2336,1365,1610,1705,2120,1784,2452,1806
ZK809.2,2317,846,1414,1392,1614,1039,1186,1299,1390,1457,1510,1328
F49H12.6a,88,50,75,30,67,53,51,64,65,32,59,66
R07E3.5a,34,12,17,13,13,11,8,17,15,12,16,17
F08F3.2a,637,364,349,284,344,401,376,516,350,367,200,439
Y46G5A.21,1564,651,1034,739,1218,817,921,995,1321,770,1289,1017
T05H4.1,2326,1356,1391,1185,1337,1532,1528,1995,1426,1092,893,1695
ZK40.1,3453,1729,2143,2072,2089,1964,2113,2730,2058,2596,1798,2268
C42D8.5a,239,168,282,129,258,209,300,444,428,343,345,403
ZK455.1,5233,2645,3476,2480,3889,3112,3303,3937,4110,2822,3782,3835
F54H12.1a,466,243,399,296,476,356,371,291,433,242,442,479
R02E12.8,8,1,6,2,4,4,5,12,8,4,5,6
D2092.3,76,20,37,52,40,33,38,37,44,43,64,41
R01E6.4a,56,25,38,28,49,32,55,66,61,54,71,68
T05C12.2,8,5,7,5,7,6,5,12,10,6,10,9
F25G6.4,87,41,58,47,51,53,55,68,64,75,81,68
F25G6.3,183,68,117,98,132,70,87,80,148,112,159,139
F53E10.2a,6,1,7,4,3,3,3,3,4,4,2,2
F28F8.1,35,28,45,33,33,36,34,48,33,44,53,29
C31H5.3a,0,1,0,3,1,1,0,1,1,2,0,0
K11G12.2,8,6,11,6,16,5,8,17,16,8,15,17
R06A4.10a,215,106,137,144,160,137,141,180,125,103,116,162
F27B3.2a,3,2,4,3,4,2,9,6,11,4,3,8
F59B1.9a,7,4,3,1,1,6,4,5,2,7,8,9
Y73F8A.30a,12,3,4,5,7,7,4,12,10,13,9,11
Y73B6BL.42,18,4,11,14,16,10,22,19,22,14,27,16
K11G12.7,10,8,5,9,7,6,9,15,12,5,8,8
K03F8.2,32,13,10,7,13,15,7,9,20,10,15,20
ZK973.5,4,0,3,0,0,3,1,1,1,4,3,2
T09A5.3,34,11,22,16,40,20,23,26,30,27,49,36
ZC504.2,48,16,22,21,35,35,53,51,57,46,63,55
C40C9.2,13,4,7,15,6,14,13,20,9,11,18,18
F46E10.1a,1298,511,822,654,950,597,685,753,847,663,979,747
F41C3.3,3100,1218,2114,1806,2259,1521,1730,2324,2140,2142,2187,2117
Y65B4BL.5a,17259,11296,9650,7917,8768,12806,12549,15796,9938,6855,5063,12709
F11A3.1,2040,903,1359,953,1618,1084,1156,1357,1649,1149,1708,1461
F47G6.2,13336,7986,7709,6271,7329,9440,9476,12046,8411,5563,4783,10220
C46F4.2,529,264,379,250,472,349,396,552,534,438,510,541
F28F8.2,4438,2128,2859,1995,2981,2726,2842,4259,3272,2838,3240,3748
T04C12.6,2021,953,1177,1142,1312,1120,1157,1301,1224,996,1116,1171
T04C12.5,15552,9836,9401,7609,9009,11566,10666,14760,8834,6985,5207,11815
T04C12.4,4548,1941,2825,2401,2982,2603,2818,3550,3240,2248,2643,2615
M03F4.2a,3138,1193,1845,1394,1987,1829,1918,2511,2179,1511,1824,2010
T25C8.2,14187,5701,9033,6638,11018,6918,8520,8650,11232,7204,11754,9024
F17C8.1,168,108,148,77,130,136,164,287,247,153,178,222
C10F3.3,26,18,14,10,17,16,20,23,25,13,19,25
C44F1.5,354,161,245,158,242,212,242,333,334,246,311,330
T01C2.1,291,143,166,154,231,166,189,248,249,217,254,233
F32A5.1a,1064,409,705,685,775,479,540,655,678,615,755,664
VW02B12L.4,2511,907,1540,1453,1607,1001,1214,1406,1423,1513,1589,1358
F39C12.2a,7,3,6,10,3,2,6,11,9,7,15,7
F57F5.4a,13,3,8,13,16,5,17,13,10,11,12,16
C04A11.4a,620,412,422,260,335,478,474,644,454,269,302,515
ZK154.7,749,435,430,356,407,518,469,681,452,364,309,509
Y73E7A.9a,554,296,320,256,343,297,319,421,351,302,191,423
H15N14.1c,44,29,27,20,29,37,25,38,22,23,20,41
T20H4.4,4216,1821,2431,2477,2680,2086,2144,2802,2325,2997,2346,2414
Y50D7A.7,5558,2268,3411,2684,4304,2676,3239,3438,4342,3044,4398,3549
C02B4.1,36,16,27,23,17,33,41,49,42,39,39,60
F08C6.1a,174,47,125,80,131,82,93,132,148,91,150,124
D2030.10a,25,10,11,17,24,6,18,15,15,20,25,22
C02H7.3a,30,12,22,5,20,19,21,34,32,23,21,22
F32A7.6,549,224,394,240,468,261,347,346,460,367,462,349
Y87G2A.4,116,55,82,50,92,83,97,109,92,107,108,83
W03F11.6a,95,47,58,44,59,71,79,102,88,33,41,65
C44B7.3,105,56,73,56,73,68,112,121,173,103,161,119
B0334.8a,2898,1731,1517,1280,1517,1870,1877,2252,1542,1144,844,1866
Y6B3A.1a,102,69,74,55,85,110,94,126,102,50,49,87
F41G3.12,378,182,274,186,314,243,366,468,455,423,421,481
F32A6.4a,203,88,148,112,162,145,151,213,158,138,140,175
Y62E10A.5a,47,8,19,24,32,25,9,21,33,30,31,27
F09E5.13,1201,625,693,630,740,741,739,979,715,620,461,789
AH10.2,4,1,6,6,1,1,2,5,6,3,6,2
AH10.4,0,0,0,0,0,0,0,0,0,0,0,0
AH6.3,0,0,0,1,2,1,0,1,0,2,1,0
AH9.1,31,8,29,19,27,21,20,26,43,29,34,27
AH9.3,733,376,480,375,553,436,447,659,523,541,434,569
AH9.4,3,6,4,2,6,5,5,4,3,4,9,7
AH9.6,15,8,10,9,15,12,18,17,23,15,17,21
C25A1.11a,757,368,550,415,535,444,443,658,544,667,546,610
C41G7.5a,1,0,0,0,1,0,0,1,0,2,0,0
C06G1.4,4108,2595,3253,1829,3005,3276,3316,4602,3790,2936,2766,4348
F58E10.4,1652,777,1046,1006,1044,894,986,1150,908,1202,866,1011
K07C11.2,8245,4572,5365,4920,5234,5133,5280,6995,4765,6196,3957,5643
B0207.4,3872,1964,2301,2101,2432,2261,2385,2914,2227,2600,1762,2519
C25A11.4a,266,117,148,116,190,190,228,309,299,153,214,239
D1022.7a,1147,518,677,729,755,675,808,920,843,577,650,772
C12D8.10a,662,324,349,365,336,327,358,453,337,395,274,387
F28H6.1a,13,1,6,5,9,9,4,14,13,8,13,15
F48F7.1a,2004,1324,1590,846,1553,1707,1843,2728,2255,1502,1581,2424
T07D3.7a,867,439,591,391,555,629,581,828,633,407,456,631
F54D8.3a,9,2,8,2,4,7,4,2,6,3,6,5
C54D1.4,459,178,377,254,368,283,303,405,408,387,444,476
F42G9.5a,120,55,77,47,95,61,70,78,77,81,80,95
Y69F12A.2a,87,45,73,57,66,44,57,58,68,70,105,57
K04F1.15,1,0,0,1,0,0,0,2,0,1,0,0
F36H1.6,2744,1386,1815,1440,1898,1745,1792,2584,2145,2242,1868,2414
T05H4.13a,689,313,401,372,471,372,429,532,490,384,447,486
T08B1.3,205,119,175,113,137,147,125,205,140,135,149,146
F56D12.1a,14,10,9,5,5,5,6,11,7,6,4,9
F45H10.1a,766,433,455,369,527,479,484,620,568,439,373,577
F13D12.4a,10099,4863,6246,4479,7370,5666,6089,6942,7624,5125,6962,6763
F01F1.6,3342,1813,2360,1596,2201,2173,2032,2886,2215,2027,1927,2579
T11B7.4a,160,60,66,44,96,86,84,137,119,101,130,128
R08B4.2,209,144,162,90,151,161,178,247,202,154,151,197
R10E12.1a,38,17,29,16,19,31,21,26,18,19,19,29
C01F6.5,2065,801,1548,1353,1480,951,1048,1431,1388,1569,1731,1305
F23B2.6,10698,5578,7332,7068,7185,6284,6578,8687,6057,9499,5541,7074
M18.7a,2877,1277,1775,1598,1968,1471,1572,1972,1886,1757,1570,1818
F36A4.7,4574,2989,2653,1997,2506,3526,2979,4221,2830,1821,1473,3346
F55D10.1,428,219,332,197,381,249,289,397,407,324,417,464
F58H1.1,42,27,23,25,24,35,24,35,33,36,31,39
F48C1.1,353,166,248,161,279,181,249,263,312,225,334,249
F58G6.1,1287,647,898,652,915,843,852,1123,1036,948,998,1087
C05E11.4,25,7,18,12,18,11,11,11,15,14,16,22
F49E11.3,2,4,8,1,7,6,7,10,13,6,10,7
M195.3,20,13,15,18,23,20,20,36,21,10,17,22
C05E11.5,2002,830,1246,948,1579,935,1232,1322,1642,1178,1592,1360
R13G10.2,865,471,594,447,606,578,550,725,617,512,499,612
B0019.1,164,73,107,70,130,115,101,161,155,120,123,163
F25C8.2a,299,100,165,154,215,114,173,173,218,163,286,187
ZK973.6a,1882,991,1233,879,1274,1193,1247,1604,1498,1080,1314,1372
Y49E10.19,8904,5607,4904,4119,4663,6219,5874,7572,5164,3595,2657,6419
K10B2.5,6578,3899,3308,2906,3142,4226,4237,5205,3425,2537,1646,4220
Y43F8C.14,1489,891,832,760,766,964,885,1150,843,523,471,940
T27E9.1a,7,3,6,0,4,2,5,7,9,6,4,7
W02D3.6,18,6,11,6,13,4,5,11,13,4,13,7
K01H12.2,33,19,15,15,31,19,23,20,7,13,11,15
C08B6.9,8005,2598,4537,4003,5612,3235,3598,3853,5212,4016,5512,4619
T20B5.1,1662,1110,1221,821,1119,1262,1266,1713,1394,1066,1010,1604
Y71H2B.10a,242,150,146,126,160,136,171,175,138,107,130,187
R11A5.1a,246,154,149,143,158,157,165,215,159,163,117,178
F15H10.3a,2370,749,1443,1251,1678,946,1073,1186,1507,1224,1630,1218
F35G12.9,4272,1229,2473,2025,2901,1603,1658,1734,2897,1961,3269,2255
K06H7.6,4601,1808,2680,2785,3080,2110,2318,2865,2701,3071,2690,2536
W09G10.4a,276,142,133,99,135,180,155,202,144,106,78,222
F46F3.4a,6628,3906,3991,3410,3680,4187,4227,5684,3918,3808,2456,4796
Y105E8A.9,2715,1603,1645,1242,1618,1764,1751,2327,1774,1436,1283,1977
VF36H2L.1,2255,995,1144,1200,1632,1167,1327,1520,1488,1189,1198,1529
ZC434.6a,136,62,68,76,75,55,61,103,86,90,98,73
C42D8.8a,70,53,75,30,65,60,75,133,100,65,75,93
F55A12.7,771,349,535,366,619,418,526,652,666,551,720,642
F53H8.1,1250,549,847,704,952,632,729,920,1067,829,989,1024
T05H10.2,4765,1903,2756,2634,3036,2193,2538,2881,2669,2923,3099,2727
W03G9.4,10070,4370,5573,5545,6857,5169,5904,7043,6128,6619,5207,6162
K04G2.8a,340,154,230,192,233,220,215,276,228,217,190,263
F29G9.3,4819,1515,3034,2484,3429,1871,2167,2433,3384,2512,3848,2614
F02E8.3,1230,514,821,721,961,555,687,767,847,823,1003,775
Y48G8AL.14,2392,781,1160,1087,1641,968,1092,1162,1520,1190,1319,1248
W04G3.4,16,9,8,7,8,8,22,20,18,20,10,15
K06A1.1,15,13,20,11,11,11,16,33,25,27,20,20
K08D9.3a,3464,2148,1807,1594,1605,2494,2438,2974,1812,1170,878,2290
F08C6.6,3150,1394,2122,1571,2472,1827,1882,2322,2344,1753,2204,2286
F32A5.5a,93,38,69,66,47,48,68,57,81,60,94,63
ZK1321.3,1879,825,1453,1058,1507,995,1136,1327,1509,1491,1702,1430
ZK525.2,1171,527,839,643,865,605,681,871,820,851,860,828
Y57A10A.35,16,2,5,4,8,8,6,12,6,8,11,14
C01G6.1a,495,292,406,304,375,313,373,545,459,390,456,442
Y69E1A.7a,6,2,3,1,2,2,2,6,7,2,6,3
F40F9.9,481,185,317,244,371,224,260,327,421,313,451,297
C35A5.1,9,1,3,3,5,2,3,6,9,6,7,6
C32C4.2a,20,12,18,10,18,11,17,19,15,15,19,27
M02F4.8,2824,1392,1849,1208,1821,1796,1743,2357,1820,1381,1761,2129
K02G10.7a,213,103,163,88,163,182,178,246,168,148,155,187
K07A1.16a,231,87,169,124,171,97,129,107,193,120,225,146
ZK1320.6,573,262,410,284,427,351,359,484,410,420,406,451
F01G4.2a,6040,2985,3975,3226,4274,3449,3398,4335,3886,4092,3695,3958
F45E4.1,200,67,109,86,139,59,100,97,150,105,169,121
B0336.2,11750,6281,7544,5631,7928,7810,8263,10682,8478,6379,6549,9322
F57H12.1,11411,6740,7359,5768,7132,7667,7956,10454,7818,6116,5450,8823
Y116A8C.12,1170,625,707,612,664,685,761,920,688,607,461,838
F31A9.3a,0,0,1,0,0,1,0,1,0,0,0,0
C01C7.1a,1213,755,752,520,621,930,855,1125,759,553,489,986
F54C9.10,3107,998,1779,1550,2150,1240,1416,1589,2201,1502,2399,1849
Y37E3.5a,3,0,1,3,1,1,4,5,3,1,1,3
F19H8.3,28,15,19,14,17,23,28,42,36,30,25,38
ZK632.8,1891,668,1121,919,1343,711,829,851,1345,949,1410,1062
C38D4.8,23,10,11,13,17,16,32,26,27,25,48,45
Y57G11C.13,5637,3245,3512,3129,3464,3546,3764,4786,3433,4025,2625,4002
F53H8.2,695,430,465,312,465,474,499,682,484,364,415,632
C15F1.6,5686,3038,3734,2794,4066,3484,3752,4382,4113,3055,3490,3909
Y71F9AL.16,2974,1667,1836,1404,1815,1918,1804,2471,1924,1387,1334,2287
K07C5.1,4311,2297,2732,2364,2784,2693,2747,3355,2725,2696,2266,3141
Y79H2A.6a,3176,1731,1884,1527,1877,2052,2032,2589,2013,1441,1417,2416
Y6D11A.2,3889,1601,2596,2339,2782,1896,2084,2566,2518,2710,2782,2437
Y37D8A.1,2512,1235,1537,1402,1706,1306,1531,1778,1468,1725,1370,1559
C35D10.16,2216,1276,1389,1162,1390,1374,1452,1855,1442,1404,1077,1678
M01B12.3,1299,646,772,672,883,648,755,873,768,690,729,804
K11D2.2,814,371,433,389,719,440,644,612,814,526,738,604
F35G12.10,13881,5975,8779,8039,10157,6876,7346,9262,8469,9018,9208,8887
F02E8.1,5841,2776,3903,2856,4204,3296,3531,4201,4201,2977,3888,3871
R74.5a,824,476,520,400,517,627,562,771,573,379,309,639
T21G5.5a,16,8,17,8,16,13,14,29,19,14,14,30
C03D6.5,2628,1363,1558,1538,1627,1539,1586,1951,1463,1783,1273,1716
K07A12.3,9259,3972,5984,5527,6605,4191,4692,5681,5690,6209,6075,5389
C53B7.4,3604,1684,2375,1863,2652,1806,2005,2415,2339,2101,2417,2226
Y17G7B.2a,123,62,67,49,67,76,86,79,72,40,35,89
ZK770.1,11,3,7,4,5,4,8,9,4,5,6,6
T28F4.2,10,7,11,6,6,4,6,6,7,6,5,13
B0252.2,939,292,601,512,707,411,475,493,697,564,838,673
ZK455.4,179,86,112,101,146,87,129,119,125,111,126,104
W03G1.7a,0,0,0,0,0,0,1,0,0,0,0,0
ZK637.5,4894,1954,3189,2786,3660,2326,2660,3214,3306,3104,3535,3191
F47G3.2,146,79,82,87,94,65,75,103,89,92,72,82
Y39B6A.20,86124,35401,54519,39880,68002,41672,52137,50866,68545,44918,67813,51753
T18H9.2,30,10,14,13,28,23,20,11,28,22,21,7
H22K11.1,51644,21316,30530,23663,38741,24465,32122,31757,41085,25466,40389,31957
R12H7.2,33998,12555,23095,17635,26102,15112,18404,20643,25847,22760,29551,21416
F21F8.3,20326,8427,12237,9499,15352,9319,12518,12667,16266,9967,15650,12868
F21F8.7,75292,32452,46012,33821,57543,36898,49233,48437,61290,38788,60890,50693
C45G3.1,3530,1886,2090,1771,2084,2039,2038,2647,2094,2332,1571,2271
T08H4.3,189,128,172,102,155,151,183,225,232,168,192,230
K08F8.2,563,374,460,300,429,396,582,816,717,604,597,672
T04C10.4,2119,947,1410,999,1582,1070,1244,1411,1607,1179,1710,1510
F45E6.2,599,337,403,274,403,439,425,614,512,384,388,535
C07G2.2a,131,61,71,55,89,66,78,99,110,73,80,84
D2085.2,284,68,157,113,182,98,119,126,190,117,201,139
D2007.5,3888,1439,2184,2066,2541,1683,1976,2286,2465,2132,2461,2283
F02E8.5,1186,518,804,678,920,632,740,953,946,818,956,946
K06A1.5,2197,817,1385,1201,1621,1016,1167,1388,1604,1310,1690,1488
F41E6.13a,240,156,145,110,151,180,154,185,160,116,76,177
M03A8.2,1826,1155,1339,825,1407,1366,1351,1949,1619,1151,1176,1687
Y55F3AM.4a,1676,944,976,880,1009,1056,1082,1303,1017,703,697,1146
Y87G2A.3a,1260,685,793,599,775,773,843,1011,904,697,779,1005
ZK792.8,755,326,479,428,524,377,440,552,459,447,481,518
Y71G12B.12a,514,279,379,323,371,335,375,423,333,330,302,361
M7.5,2466,1373,1530,1234,1547,1479,1524,1965,1562,1440,1178,1641
T22H9.2a,777,540,502,339,495,623,550,778,528,369,330,655
F26D10.9a,443,233,381,216,354,313,406,528,514,396,421,534
C38C6.2a,360,225,242,169,245,292,273,498,332,280,241,400
K04G2.5a,5248,1819,3274,3004,3958,2460,2673,3195,3657,2953,4066,3132
C44B9.4,2538,1533,1308,1167,1314,1586,1560,1924,1302,965,717,1658
T06E4.3a,109,46,53,66,59,51,61,68,46,63,50,66
Y48G1BL.2a,1023,536,567,470,556,642,598,814,586,415,358,717
W04D2.1a,196,84,117,109,153,126,143,207,175,105,129,136
C34E10.6,54402,30980,33440,26461,34040,36431,35030,45414,34353,24264,25194,38212
F27C1.7a,2476,1213,1548,1342,1623,1201,1497,1688,1601,1220,1473,1543
T05H4.12,6659,3540,4090,3306,4496,3927,4107,5028,4372,3341,3432,4186
C06H2.1,18856,9097,11151,9156,12639,10495,10966,12987,11931,8301,10353,11742
D2045.1a,190,123,117,80,81,101,102,125,77,64,44,104
F28F8.6,2104,1110,1199,1107,1266,1215,1344,1613,1186,1254,888,1374
M01G5.6,890,346,631,604,720,446,457,496,554,679,791,537
B0207.12a,17,12,15,15,19,13,15,16,25,18,13,34
R11G10.1a,32,17,25,25,29,21,13,18,25,15,34,26
K02B12.4a,157,51,79,86,73,55,65,63,61,60,59,63
B0001.2,7731,3127,3982,4081,4711,3596,3960,4673,4393,3972,4135,4395
B0001.3a,114,67,73,55,86,70,84,89,81,67,66,91
B0001.4a,1524,972,932,789,914,1063,1020,1385,940,772,547,1124
B0001.5,1800,988,919,827,928,1086,1036,1341,1007,710,643,1146
B0001.7a,2392,1319,1280,1123,1252,1534,1440,1886,1266,1057,848,1591
B0001.8a,2419,1228,1450,1376,1494,1399,1375,1845,1330,1788,1089,1491
B0019.2,1492,816,855,799,849,825,875,1098,852,878,629,973
B0024.11,3060,1354,1949,1878,2043,1582,1576,2106,1880,2291,1833,1834
B0024.13,155,62,120,97,111,81,91,111,77,131,82,76
B0024.15,14,3,15,4,9,3,8,3,12,9,18,11
B0024.3,71,26,27,42,32,29,31,43,60,45,52,50
B0024.4,812,242,419,392,589,314,369,291,476,319,458,388
B0025.4,1898,744,1118,1026,1238,858,964,1158,1150,1122,1052,1053
B0034.1,17,6,10,9,10,7,13,13,15,15,9,12
B0034.2,0,0,0,0,0,0,0,0,0,0,0,0
B0034.4,5,0,2,2,2,4,3,6,5,2,5,2
B0034.5,12,5,7,12,13,12,11,8,15,5,7,9
B0034.7,22,5,13,9,17,5,15,24,24,11,21,21
B0035.15,3973,1259,2179,2019,2627,1410,1699,1789,2476,1922,2928,2024
B0035.18,533,292,327,299,354,258,288,355,293,300,331,318
B0035.3,5339,1664,3025,2658,3562,2155,2393,2563,3519,2386,3758,2796
B0041.1,2,3,2,0,0,2,0,1,4,4,5,3
B0041.5a,4300,1798,2734,2727,3160,2142,2579,3071,2688,3070,3001,2779
B0041.8,7383,2644,4840,4470,5116,3123,3505,4130,4266,4513,5075,3873
B0198.2a,34,21,38,25,31,20,22,33,25,23,32,42
B0198.3a,113,65,99,69,74,74,104,182,111,109,100,143
B0205.1a,177,77,130,124,143,142,137,163,151,115,146,139
B0205.10,9,5,1,1,2,3,4,4,0,1,2,3
B0205.12,313,111,230,170,214,140,139,161,256,218,312,164
B0205.13,1025,319,568,476,756,435,444,497,842,483,918,514
B0205.14,103,28,71,68,83,37,50,49,73,61,96,69
B0205.4,47,20,45,34,52,25,61,65,87,60,90,80
B0205.5,15,3,11,10,4,1,3,8,7,5,8,4
B0205.8,1311,605,784,720,811,682,754,910,771,706,693,772
B0205.9,2476,1332,1406,1252,1402,1489,1492,1918,1342,1405,884,1624
B0207.1,2,0,0,0,1,0,0,5,2,0,1,1
B0207.10,13,0,7,1,4,2,5,5,4,5,9,5
B0207.11,1,0,2,5,1,2,0,1,0,2,2,1
B0207.2,28,10,21,15,25,17,14,15,16,9,27,16
B0207.5a,10,5,12,6,17,13,8,13,14,13,12,17
B0207.6,2328,900,1590,1461,1681,977,1190,1379,1345,1560,1677,1405
B0207.7,0,1,1,0,0,1,0,0,0,1,0,1
B0207.8,0,0,0,0,0,0,0,0,0,0,0,0
B0207.9,3,1,1,1,0,1,1,0,0,0,0,1
B0212.3,738,411,451,358,395,465,465,653,462,399,313,570
B0218.5,3,1,5,1,6,1,5,9,1,1,5,5
B0218.7,4,4,2,2,0,2,2,3,2,0,0,1
B0222.1,13,6,8,1,6,7,4,6,8,8,5,9
B0222.10,1,0,6,2,0,2,2,1,2,0,0,5
B0222.11,21,5,13,13,15,13,7,9,19,11,18,13
B0222.5,193,105,183,89,136,137,135,195,154,148,163,138
B0228.1,230,70,145,99,155,99,114,130,199,131,204,135
B0228.6,351,131,247,176,293,183,280,264,436,243,420,325
B0228.7,1634,626,1165,1049,1204,775,864,1030,1064,1115,1298,1050
B0228.8,0,0,0,1,0,0,0,0,0,1,0,0
B0228.9,0,1,0,1,0,0,0,1,1,1,1,0
B0238.11,7272,2965,4737,4232,5123,3459,3746,4550,4326,5005,4750,4415
B0238.12,82,57,68,67,81,56,59,83,57,74,53,62
B0238.15,34,9,17,14,13,27,16,16,12,14,11,17
B0238.9,3548,2180,1835,1727,1881,2406,2367,3022,1945,1468,1028,2468
B0244.11,0,0,0,0,0,0,0,0,0,0,0,0
B0244.9,584,299,339,270,282,321,326,395,299,312,216,307
B0250.4,386,170,219,188,291,162,198,257,277,213,296,307
