transcript_stable_ID,Nr01,Nr02,Nr03,Nr04,Nr05,Nr06,Nr07,Nr08,Nr09,Nr10,Nr11,Nr12
Y43D4A.1,0,0,0,0,0,0,0,0,0,0,0,0
Y43D4A.2,2,3,4,0,2,1,0,1,2,4,3,0
Y43D4A.3a,0,0,0,0,0,0,0,0,0,0,0,0
Y43D4A.4a,0,0,0,0,0,0,0,0,0,0,0,0
Y43D4A.5a,7,7,4,2,2,10,4,5,10,3,5,9
Y43D4A.6,64,16,27,26,35,26,32,23,39,21,40,32
Y43E12A.2,223,123,145,107,179,132,137,176,186,142,172,189
Y43E12A.3a,263,164,173,136,152,167,186,191,151,165,98,182
Y43F11A.1,0,0,0,0,0,0,0,0,0,0,0,0
Y43F11A.4,0,0,0,0,0,0,0,0,0,0,0,0
Y43F4A.1a,201,104,188,106,152,140,159,234,212,158,193,236
Y43F4A.4,0,1,0,0,1,0,0,0,1,1,0,1
Y43F4B.10,3766,1126,2173,1956,2599,1439,1636,1677,2698,1792,2999,2063
Y43F4B.5a,495,268,292,245,350,333,313,405,348,322,286,361
Y43F4B.7,1411,752,888,742,966,886,910,1250,971,938,873,1122
Y43F4B.9a,589,196,333,329,355,255,264,301,405,321,386,340
Y43F8A.1,17,2,8,5,5,5,5,8,10,8,9,2
Y43F8A.2,8,5,4,1,2,5,1,8,2,7,0,1
Y43F8A.5,16,25,25,18,16,17,24,28,25,14,17,34
Y43F8B.1a,81,43,43,33,68,33,33,43,51,31,56,44
Y43F8B.10,1,0,0,1,0,0,0,0,1,2,0,1
Y43F8B.11,80,19,39,44,49,21,32,41,42,46,58,42
Y43F8B.12,17,7,19,12,13,7,13,7,20,7,15,13
Y43F8B.13,120,35,85,51,98,51,82,78,110,83,103,74
Y43F8B.14,20,16,16,14,17,12,20,19,29,19,17,24
Y43F8B.15,14,8,7,7,5,6,10,14,7,3,9,14
Y43F8B.18,5,1,4,4,2,5,2,11,9,4,5,3
Y43F8B.19,0,0,0,1,0,0,0,1,1,0,0,1
Y43F8B.2a,219,100,147,104,166,126,100,137,166,110,169,136
Y43F8B.20,2,0,2,0,1,2,3,2,1,2,1,4
Y43F8B.3a,29,24,11,17,17,26,18,37,31,26,25,27
Y43F8B.6,0,0,1,0,0,0,0,2,1,0,0,0
Y43F8B.9,102,38,63,57,76,41,61,74,83,59,91,75
Y43F8C.11,7,4,4,2,7,3,4,9,4,5,2,2
Y43F8C.13,1572,694,996,760,1279,770,902,848,1143,842,1170,948
Y43F8C.15,0,0,0,0,0,0,0,0,0,0,0,0
Y43F8C.16,1,0,0,0,0,1,0,0,1,1,0,0
Y43F8C.17,0,0,0,0,1,1,0,0,1,1,0,0
Y43F8C.18,7,3,6,4,10,3,1,1,9,1,8,4
Y43F8C.23,0,0,0,0,0,0,0,0,1,0,0,0
Y43F8C.3,359,217,300,157,292,281,349,490,406,270,312,466
Y43F8C.5,6,1,2,0,3,3,1,4,3,2,0,3
Y43F8C.6a,369,217,188,145,176,265,201,297,208,135,111,258
Y43F8C.7,2155,919,1412,1355,1544,1144,1178,1570,1353,1584,1411,1394
Y43F8C.9,5,6,2,4,6,3,3,3,1,3,4,3
Y43H11AL.1a,3926,2001,2240,2128,2623,2245,2462,3092,2371,2380,2044,2686
Y44A6B.3,15,9,2,11,10,10,13,13,11,9,10,7
Y44A6C.1,287,161,214,150,195,192,190,230,218,177,166,258
Y44A6C.2,600,197,445,324,439,292,310,336,444,312,468,361
Y44A6D.1,0,0,0,0,0,0,0,0,0,1,0,0
Y44A6D.2,144,58,140,108,107,87,98,136,175,148,178,157
Y44A6D.3a,266,102,175,131,210,117,164,194,231,176,232,196
Y44A6D.5,5,3,5,2,4,9,6,7,3,2,4,3
Y44A6D.6,4,1,5,0,2,0,1,1,1,1,2,2
Y44A6D.7a,1,3,6,3,6,3,3,1,3,0,5,4
Y44E3A.1a,117,41,84,59,91,66,85,101,138,77,139,90
Y44F5A.1,1748,561,958,853,1167,700,766,836,1090,865,1193,941
Y45F10A.7a,36,25,26,19,42,27,32,47,42,31,36,41
Y45F10B.12,0,0,0,0,0,0,0,0,0,0,0,0
