external_gene_name,Uniq_reads_num.5784560.,Uniq_reads_num.5230459.
C04F6.1,426284,586304
C04F6.4a,76,77
C04G2.1,31,46
C04G2.10a,26,29
C04G2.4,38,283
C04G2.7,2,3
C04G2.8,16,225
C04G2.9,73,580
C04G6.2,2,1
C04G6.3,1690,1241
C04G6.4,357,213
C04H5.1,70,50
C04H5.2,49,97
C04H5.6,1381,914
C04H5.7a,17,34
C05A2.1,21,28
C05B10.1,938,422
C05B5.7b,13,10
C05B5.8,53,93
C05C10.3,1911,1502
C05C10.4,160,634
C05C10.5a,58,20
C05C10.7,208,134
C05C12.3,350,311
C05C12.5,2,44
C05C8.1a,18,13
C05C8.2,873,550
C05C8.5,521,335
C05C8.6,1515,761
C05C8.7,147,191
C05C8.9a,232,169
C05D10.2a,1,2
C05D10.3,3,4
C05D10.4a,12,10
C05D11.1,1828,1275
C05D11.10,382,246
C05D11.11b,42,46
C05D11.12,1563,1392
C05D11.2,1113,608
C05D11.4,61,87
C05D11.5,9,24
C05D11.6a,9,3
C05D11.7a,4,4
C05D11.7b,223,141
C05D11.9,815,483
C05D12.4,6,6
C05D12.7,3,1
C05D2.10a,13,11
C05D2.10b,9,3
C05D2.4a,1,1
C05D2.6a,37,11
C05D2.8,227,399
C05D9.1,278,212
C05D9.2,25,57
C05D9.5,29,42
C05D9.7,33,11
C05D9.9b,16,9
C05E11.1,100,99
C05E11.3,21,23
C05E11.5,12,22
C05E11.8a,25,53
C05E4.1,8,20
C05E4.3,185,341
C05E4.9a,87,329
C05G5.3,44,74
C05G5.4,466,814
C05G6.1,49,150
C05H8.1a,15,16
C06A1.1,9927,5221
C06A1.3,14,82
C06A1.5,452,311
C06A12.3b,10,19
C06A5.11,207,127
C06A5.12,27,23
C06A5.4,94,60
C06A5.7a,31,34
C06A5.7b,18,15
C06A5.8a,57,27
C06A5.9,468,312
C06A6.3,397,268
C06A6.4a,2,19
C06A6.4b,32,16
C06A6.5,150,141
C06A8.1a,34,58
C06A8.2,1031,570
C06A8.3,1465,2764
C06A8.4,420,204
C06A8.5,915,568
C06A8.6,6,100
C06A8.8b,30,60
C06B3.3,287,596
C06B3.4,100,129
C06B3.6,293,141
C06B8.8,2923,2812
C06C3.1b,20,7
C06C3.1c,2,2
C06C3.6,7,7
C06C3.7,4,3
C06C6.4,3,1
C06C6.5a,2,1
C06C6.8,3,7
C06E1.1,44,22
C06E1.8,4,2
C06E1.9,827,447
C06E2.5,49,27
C06E4.8,2,13
C06E7.1a,1760,882
C06E7.2,20,53
C06E7.4,45,45
C06E7.6,1,4
C06E8.3a,67,63
C06G1.2,4,19
C06G1.4,381,415
C06G1.5,36,30
C06G3.10,1229,663
C06G3.1a,23,52
C06G3.1b,1,2
C06G3.2,3045,1690
C06G3.3,6,6
C06G3.5a,8,14
C06G3.6,155,124
C06G3.7,1279,1165
C06G3.8,172,106
C06G3.9,1297,806
C06G4.2a,15,17
C06G4.2b,28,30
C06G4.2d,1,1
C06G4.4,3,14
C06G4.5,8,6
C06G8.1,8,19
C06G8.2,51,55
C06H2.1,3667,3846
C06H2.3,236,178
C06H2.4,13,12
C06H2.6,644,486
C06H2.7,276,164
C06H5.6,73,128
C06H5.7,16,16
C07A12.3b,91,111
C07A12.4a,751,870
C07A12.5a,42,24
C07A12.7a,39,59
C07A12.7b,2,1
C07A4.3,1,2
C07A9.2,437,317
C07A9.3b,55,33
C07A9.6,17,17
C07A9.7a,41,39
C07A9.7b,3,3
C07B5.5,374,858
C07D10.1,5,12
C07D10.2a,30,18
C07D10.2b,29,14
C07D10.5,50,55
C07D8.6,1370,1084
C07E3.10,5,2
C07E3.1a,907,525
C07E3.1b,6,1
C07E3.2,1264,746
C07E3.3,13,49
C07E3.6,152,74
C07E3.9,48,55
C07F11.1,987,587
C07G1.1,1,4
C07G1.3a,169,87
C07G1.4a,401,247
C07G1.4b,7,10
C07G1.5,2206,1553
C07G1.8,165,111
C07G2.1a,25390,13764
C07G2.2a,14,12
C07G2.2c,16,8
C07G2.3a,1833,1382
C07G3.2,6,6
C07H4.1,6,17
C07H4.2,822,473
C07H6.2,257,162
C07H6.5,16501,7829
C07H6.6,966,478
C07H6.7,26,34
C07H6.8,724,394
C07H6.9,1,5
C08A9.1,20,54
C08A9.10,81,167
C08B11.1,3569,2339
C08B11.2,428,229
C08B11.4,210,338
C08B11.5,1112,707
C08B11.6,572,303
C08B11.7,826,478
C08B11.9,176,99
C08B6.10,19,49
C08B6.3,3,30
C08B6.8,207,128
C08B6.9,949,502
C08C3.2,312,172
C08C3.3,4,4
C08C3.4a,58,28
C08C3.4b,98,78
C08D8.2b,22,44
C08E8.10,17,25
C08E8.4,17,58
C08F11.11,3379,5110
C08F11.12,1,1
C08F11.13,155,41
C08F11.5,11,15
C08F8.1,275,229
C08F8.3,882,470
C08F8.4,3,54
C08F8.9,18,28
C08G5.4,4,17
C08G5.5,1,7
C08G9.1,28,35
C08H9.15,2,9
C08H9.2a,10008,7797
C08H9.3b,34,11
C09B7.2,49,81
C09B8.1,9,15
C09B8.6a,12,22
C09B8.7a,7,9
C09B9.4,6,124
C09B9.6,29,262
C09D4.1a,4,14
C09D4.2,138,294
C09D4.3,12,119
C09D4.5,12975,10401
C09D4.9,1,7
C09D8.1a,5,24
C09D8.1b,6,4
C09D8.1c,1,1
C09E7.3,1,5
C09E7.8b,904,473
C09E7.9,257,169
C09E8.1a,130,162
C09E8.3,57,14
C09E9.1,77,48
C09F12.1,59,63
C09F5.2a,93,83
C09F5.2b,5,1
C09F9.1,2,21
C09G1.4,53,112
C09G1.5,6,2
C09G12.8b,83,68
C09G4.1,564,367
C09G4.2b,2,1
C09G4.3,526,308
C09G4.4,185,86
C09G5.2,534,307
C09G5.4,122,88
C09G5.5,7688,12785
C09G9.1,950,841
C09G9.2a,211,150
C09G9.7,5,6
C09H10.1,3,7
C09H10.2,5150,5276
C09H10.3,2554,2280
C09H10.6,1667,1004
C09H10.8,4,1
C09H10.9,13,38
C09H6.2b,1,1
C09H6.3,1055,554
C10A4.4,10,14
C10A4.5,8,10
C10A4.7,1,4
C10B5.3,23,61
C10C5.3,24,11
C10C5.6a,2,4
C10C5.6b,28,17
C10C5.7,2,5
C10C6.1a,247,198
C10C6.3,3,47
C10C6.6,2815,2233
C10C6.7b,4,5
C10E2.2,10,16
C10E2.6,439,286
C10F3.1,1508,813
C10F3.2,1,9
C10F3.4b,1,1
C10F3.5a,28,29
C10F3.6,10,32
C10G11.10,1,13
C10G11.1b,1,14
C10G11.7,1736,1128
C10G6.1a,2,3
C10G8.5b,1,10
C10G8.6,6,21
C10G8.8a,164,257
C10H11.10,1357,783
C10H11.3,40,44
C10H11.6a,10,18
C10H11.9,2742,1707
C11D2.4,433,227
C11D2.6d,10,13
C11D2.7,231,176
C11D9.1,17,7
C11E4.1,246,571
C11E4.2,17,46
C11E4.8,1,2
C11G10.1,28,58
C11G6.4a,4,4
C11H1.2,21,20
C11H1.4a,5,8
C11H1.9a,13,17
C12C8.3a,5592,2469
C12D12.1a,6,13
C12D12.1b,7,13
C12D12.1c,69,84
C12D5.5,1,1
C12D5.7,17,20
C12D5.8a,2,1
C12D8.10a,212,137
C12D8.10b,2,9
C12D8.11,2335,1826
C12D8.14,7,20
C12D8.16,3,6
C12D8.1a,38,23
C13A10.1,9,8
C13A10.2,1,6
C13B4.2,2343,1212
C13B9.3,1517,983
C13B9.4b,1,7
C13C12.1,8,17
C13F10.1b,19,21
C13F10.5,146,88
C13F10.6,822,403
C13F10.7,529,439
C13G3.1,212,277
C13G3.3b,17,3
C13G3.3c,7,6
C13G5.2,623,359
C14A11.3a,8,4
C14A11.3c,5,1
C14A11.9,105,81
C14A4.1,332,235
C14A4.10,336,199
C14A4.11,329,183
C14A4.14,666,418
C14A4.2,693,373
C14A4.4a,663,360
C14A4.5,232,143
C14A4.6,4,10
C14A4.8,3,22
C14A6.13,2,52
C14B1.1,5265,3612
C14B1.10,810,448
C14B1.12,168,94
C14B1.2,727,388
C14B1.3,181,246
C14B1.4,1186,709
C14B1.5,491,293
C14B1.9,2143,1100
C14B9.1,72,243
C14B9.10,199,256
C14B9.2,416,476
C14B9.3,3,7
C14B9.4a,102,63
C14B9.7,14632,11478
C14C10.2a,12,9
C14C10.2b,2,1
C14C10.3a,16,7
C14C10.3b,1,1
C14C10.3c,3,2
C14C10.4,2693,1399
C14C10.6,42,34
C14C11.1,5,47
C14C11.3,10,25
C14C11.4,4,2
C14C11.7,104,64
C14C6.2,36,114
C14C6.5,88,38
C14F11.1a,596,682
C14F11.2,35,80
C14F11.4a,10,18
C14F11.5a,1032,2013
C14F11.6,3,16
C14F5.1a,4,15
C14F5.1b,2,3
C14F5.2,51,40
C14F5.3a,31,47
C14F5.3c,18,25
C14F5.5,166,150
C14H10.1,131,280
C14H10.3b,48,87
C15A11.2,6,93
C15A11.4,2,10
C15A11.5,88,57
C15A11.7a,4,3
C15B12.7a,141,70
C15C6.1,4,3
C15C6.2b,12,151
C15C6.4,223,123
C15C7.1,15,9
C15C7.5,69,153
C15C7.6,1,2
C15C7.7,26,24
C15C8.3a,23,45
C15C8.4,733,449
C15C8.7,58,54
C15F1.2,7,18
C15F1.3a,73,41
C15F1.3b,15,7
C15F1.4,576,328
C15F1.5b,14,54
C15F1.6,1868,1586
C15F1.7a,30,23
C15H11.11a,4,2
C15H11.2b,104,61
C15H11.4,1650,1028
C15H11.5,412,291
C15H11.7,1651,906
C15H11.8,146,68
C15H11.9,1532,1145
C15H7.3,6,115
C15H9.11,2,31
C15H9.6,5700,5989
C15H9.7,174,349
C15H9.9,264,646
C16A11.10,106,83
C16A11.2a,111,44
C16A11.3,145,114
C16A11.4a,1067,801
C16A11.6,384,241
C16A11.7,11,57
C16A3.2,105,68
C16A3.4,1524,828
C16A3.5,744,707
C16A3.6,1057,802
C16A3.9,4193,3664
C16B8.1,12,8
C16B8.3,295,370
C16C10.1,322,182
C16C10.11,957,907
C16C10.13,17,37
C16C10.2,509,332
C16C10.4,726,413
C16C10.6,1127,703
C16C10.7,198,136
C16C10.8,270,167
C16C2.1,2,2
C16C2.2a,14,15
C16C2.3b,398,224
C16C2.4,938,657
C16C4.4,8,18
C16C4.5,2,1
C16C8.11,54,47
C16C8.12,110,47
C16C8.14,120,81
C16C8.16,400,230
C16C8.4,311,232
C16D9.1,1,2
C16E9.2b,13,4
C16E9.4a,12,16
C16H3.2,239,348
C17B7.11,58,48
C17C3.10,2,4
C17C3.12a,17,34
C17C3.15,48,74
C17C3.1a,1,4
C17C3.1b,5,5
C17C3.5,1,5
C17D12.2,1,4
C17D12.5,1,11
C17D12.6a,5,11
C17E4.10a,636,438
C17E4.11,107,67
C17E4.3,1362,679
C17E4.4,123,98
C17E4.5,1339,865
C17E4.6,849,441
C17E4.9,1014,652
C17E7.12,63,40
C17E7.4,538,257
C17F4.12,1,2
C17F4.7,2344,3044
C17G1.2,267,358
C17G1.3a,9,20
C17G1.4a,36,17
C17G1.4b,2,4
C17G1.5,21,45
C17G1.6b,7,23
C17G1.7,65,161
C17G10.1,892,415
C17G10.2,1001,531
C17G10.4b,484,311
C17G10.4c,10,8
C17G10.4e,5,3
C17G10.5,579,956
C17G10.7,7,9
C17G10.8,983,617
C17H1.4,5,3
C17H12.1,1374,994
C17H12.14,1528,1597
C17H12.3,10,163
C17H12.8,516,1
C18A11.1,10,8
C18A11.3,75,92
C18A11.7a,59,31
C18A3.10,2,3
C18A3.2,289,204
C18A3.3,908,587
C18A3.4a,218,394
C18A3.5a,233,149
C18A3.5c,4,1
C18A3.7,5,65
C18B12.2,3,5
C18B12.4,262,292
C18B12.5,15,20
C18B2.3,102,241
C18B2.4,547,633
C18B2.5a,13,18
C18B2.5b,4,5
C18C4.10a,1,4
C18C4.10b,22,40
C18C4.10d,49,30
C18C4.9,3,13
C18D1.1,432,185
C18D1.3,9,24
C18D1.4,1,1
C18D11.1,51,67
C18D11.3,624,347
C18D11.4,503,298
C18D11.6,69,48
C18D11.7,2,2
C18D4.6a,1,1
C18E3.2,1225,631
C18E3.5,216,133
C18E3.7c,302,208
C18E3.9a,51,18
C18E3.9b,5,1
C18E9.1,14,23
C18E9.10,223,167
C18E9.11a,718,379
C18E9.2a,1075,680
C18E9.3f,1,2
C18E9.4,479,436
C18E9.5,103,171
C18E9.6,1508,783
C18E9.9,231,330
C18F10.7a,750,475
C18F3.4a,120,69
C18G1.2a,9,13
C18G1.3c,3,8
C18G1.4a,255,166
C18G1.5,2570,1650
C18H7.4,8,98
C18H9.2,291,148
C18H9.6,46,62
C18H9.7,11,10
C23F12.4,32,30
C23G10.11,7,2
C23G10.2a,19,15
C23G10.3,14374,11283
C23G10.4b,7314,4963
C23G10.7b,42,28
C23G10.7c,32,15
C23H3.1,120,75
C23H3.2a,6,9
C23H3.3b,418,319
C23H3.4a,33,29
C23H3.5,416,231
C23H3.7,46,80
C23H3.9b,1,2
C23H4.1,294,524
C23H4.8,3,1
C23H5.1,5,14
C23H5.8a,28,60
C23H5.8c,2,2
C24A1.1,30,82
C24A1.2b,15,3
C24A1.3b,31,41
C24A11.1,8,63
C24A11.8a,25,23
C24A11.9,264,181
C24A3.2a,3,3
C24A3.2b,1,1
C24A3.6,184,384
C24B5.2a,13,6
C24B5.2c,66,34
C24B5.4,5,7
C24B9.3a,193,485
C24B9.9,6,17
C24D10.2,10,131
C24D10.5,54,15
C24D10.6,557,307
C24D10.7,1,21
C24F3.1a,23,18
C24F3.1b,40,18
C24F3.2,125,90
C24F3.4,1000,626
C24F3.6,17380,36944
C24G6.1,442,277
C24G6.2a,19,37
C24G6.4,53,76
C24G6.8,897,534
C24H10.1,10,3
C24H10.5,101,233
C24H11.5b,8,3
C24H12.4a,118,90
C25A1.10a,676,406
C25A1.11a,3,1
C25A1.12,608,375
C25A1.13,686,496
C25A1.16,975,787
C25A1.2,3,7
C25A1.3,447,255
C25A1.4,871,602
C25A1.5,906,647
C25A1.6,314,248
C25A1.7a,1201,730
C25A1.7b,18,11
C25A1.8,8358,4313
C25A1.9a,49,22
C25A1.9b,1,6
C25A11.1,8,2
C25A11.2,228,123
C25A8.4,3461,3570
C25B8.1b,1,2
C25B8.6,2,5
C25D7.10,482,346
C25D7.15a,1,1
C25D7.16,6,27
C25D7.5,1,2
C25D7.6,3442,1656
C25D7.7,340,180
C25D7.8,814,554
C25E10.10,26,50
C25E10.8,22,87
C25E10.9a,26,57
C25F6.2a,267,239
C25F9.10a,2,1
C25F9.11,7,2
C25F9.14,8,7
C25G4.2,202,167
C25G4.3a,56,46
C25G4.4,130,144
C25G4.5,2757,1750
C25G4.6,24,260
C25G6.4,1,2
C25H3.1,2,3
C25H3.14,118,92
C25H3.16,1,8
C25H3.17,30,28
C25H3.3,131,75
C25H3.4,498,246
C25H3.5,2,6
C25H3.6b,187,184
C25H3.6c,18,34
C25H3.7,327,260
C25H3.9a,145,118
C26B2.1,659,303
C26B2.6,542,384
C26B2.7,326,282
C26B9.1a,24,38
C26B9.3,6,6
C26B9.5,256,388
C26C6.1a,3246,1748
C26C6.2,1065,707
C26C6.3,14,12
C26C6.9,40,52
C26D10.1,3163,2101
C26D10.2a,2282,1475
C26D10.2b,13,11
C26D10.5a,3,2
C26D10.6a,3,2
C26E1.3,7,23
C26E6.11,247,169
C26E6.12,445,239
C26E6.2,227,154
C26E6.4,2485,1518
C26E6.5,657,390
C26E6.6,812,462
C26E6.7a,7,6
C26E6.7b,27,11
C26E6.8,837,435
C26F1.10,3,10
C26F1.1a,6,3
C26F1.2,7,5
C26F1.3,449,283
C26F1.4,6733,5073
C26F1.5,11,12
C26F1.7b,3,3
C26F1.9,602,787
C26H9A.1b,406,235
C27A12.10,281,180
C27A12.2,1427,763
C27A12.3,762,409
C27A12.7a,97,56
C27A12.8,769,577
C27A2.1,2237,1113
C27A2.2a,2895,2337
C27A2.3,1586,917
C27A2.6,1264,715
C27A2.7,1,5
C27A7.5b,7,31
C27A7.6,482,321
C27B7.1a,26,13
C27B7.1b,8,8
C27B7.9,25,6
C27C12.2,287,173
C27C7.1,878,659
C27D11.1,7354,4216
C27D6.12a,12,24
C27D6.4a,44,47
C27D6.4b,54,33
C27D6.4c,1,1
C27D8.1,20,115
C27D8.4,447,254
C27F2.10,692,305
C27F2.4,515,264
C27F2.5,547,320
C27F2.9,440,222
C27H5.2a,3,4
C27H5.3,694,533
C27H6.2,1185,674
C27H6.3,375,258
C27H6.4a,5,7
C27H6.4b,48,28
C27H6.8,865,506
C28A5.3,86,82
C28C12.1,14,73
C28C12.12,762,423
C28C12.2,1496,772
C28C12.4,19,93
C28C12.5,389,734
C28C12.7a,18,45
C28C12.7b,137,294
C28C12.9c,174,110
C28D4.1,42,40
C28D4.2b,565,418
C28D4.3,4383,2197
C28D4.4,6,80
C28D4.7,13,128
C28D4.9,76,58
C28G1.3,160,99
C28G1.5b,26,36
C28G1.6,24,33
C28H8.1,308,185
C28H8.11a,81,258
C28H8.12,480,347
C28H8.2,6,16
C28H8.3,6160,3638
C28H8.4,861,632
C28H8.6a,19,38
C28H8.6b,4,17
C28H8.6c,8,14
C28H8.9a,357,172
C28H8.9c,17,18
C29A12.3b,345,178
C29E4.1,7,12
C29E4.12,413,291
C29E4.13a,38,33
C29E4.13b,5,4
C29E4.15,23,7
C29E4.2,1289,745
C29E4.3a,41,26
C29E4.3b,9,3
C29E4.5a,120,87
C29E4.5b,9,2
C29E4.8,790,520
C29E6.2,12,18
C29E6.5,18,12
C29F3.2,1,1
C29F3.7a,16,12
C29F4.1,83,45
C29F5.1,209,334
C29F5.7,3,8
C29F7.2,296,447
C29F7.3,132,191
C29F7.4,93,66
C29F9.2,1,11
C29F9.7,117,177
C29G2.6,20,104
C29H12.1,650,382
C29H12.2,2076,1839
C29H12.6,6,12
C30A5.2,52,35
C30A5.3,1288,848
C30B5.1,3558,1626
C30B5.2a,35,23
C30B5.2b,24,22
C30B5.3,17,198
C30B5.4,840,553
C30B5.6,8,8
C30C11.1,363,325
C30C11.2,6848,6064
C30C11.4,14381,12849
C30D11.1f,4,7
C30F12.1,119,202
C30F12.2,425,245
C30F12.4,760,433
C30F12.5a,52,101
C30F12.7,150,372
C30F8.2,1634,1868
C30F8.4a,3,5
C30G12.2,51,331
C30G12.7,2122,1058
C30G4.4b,12,37
C30G4.7,12,45
C30G7.1,14,27
C30G7.3,19,203
C30G7.4,24,53
C30H6.10,5,5
C30H6.7a,1195,991
C30H6.8,153,133
C30H6.9,266,153
C30H7.2a,597,437
