external_gene_name,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
twk-25,148,149,148,144,150,124
twk-26,95,92,81,57,96,58
twk-28,21,35,38,27,55,34
twk-29,146,160,135,88,136,124
twk-30,37,48,33,46,40,42
twk-31,100,125,104,90,111,100
twk-32,80,83,74,55,66,58
twk-33,71,75,55,82,82,74
twk-34,208,174,207,197,253,217
twk-35,21,17,21,11,14,19
twk-36,15,8,8,3,15,8
twk-37,1,2,1,1,1,3
twk-39,60,71,40,33,56,48
twk-40,22,12,23,12,17,23
twk-42,17,24,28,37,52,46
twk-43,54,62,53,51,72,52
twk-44,4,3,0,2,0,1
twk-45,53,39,39,30,52,39
twk-46,58,53,61,72,98,77
uaf-1,6684,7083,6859,5813,8393,6914
uaf-2,5290,5285,5302,4631,6438,6436
uba-1,24565,25986,26102,25122,33342,21295
uba-2,5370,5735,5977,5377,7176,6690
ubc-1,2048,2085,2146,2090,2507,2278
ubc-3,4687,5181,5114,4430,5847,5298
ubc-6,2653,2779,2959,3067,3806,3260
ubc-7,10168,10540,10858,11889,14939,15170
ubc-8,593,580,578,538,687,585
ubc-9,7795,7672,8099,7728,11073,9930
ubc-12,2808,2469,2685,2706,3831,3385
ubc-13,3232,3233,3307,3363,4296,3742
ubc-14,1246,1437,1418,1360,1807,1837
ubc-15,929,1046,1055,1009,1202,1212
ubc-16,1869,1860,1799,1651,2446,2068
ubc-17,39,46,35,21,39,33
ubc-18,6020,6259,5983,6127,8035,6265
ubc-19,207,238,210,149,217,235
ubc-20,4576,4781,4735,4764,6327,5430
ubc-21,6,6,8,4,8,5
ubc-22,20,17,19,15,22,17
ubc-23,127,141,117,141,159,141
ubc-24,5,2,6,5,4,5
ubc-25,14104,14106,14929,14402,18090,17430
ubh-1,409,473,467,436,570,550
ubh-2,1037,1046,1126,994,1365,1297
ubh-3,1687,1787,1805,1738,2395,2364
ubh-4,3345,3338,3748,3507,4720,4505
ubl-1,20215,22055,21351,21523,28325,22754
ubl-5,722,770,795,828,1108,1265
ubq-1,61346,64651,67388,59052,76320,49905
ubq-2,21949,22495,21046,21448,31567,26782
ucp-4,1063,1081,1187,1299,1625,1566
uev-1,2949,3069,3100,3308,4472,4403
uev-2,6,10,13,4,6,4
uev-3,1417,1520,1629,1526,1932,1661
ufd-1,4125,4202,4427,4426,5772,4787
ufd-2,6770,7166,7497,7037,8826,7478
ula-1,2766,2876,3048,2837,3642,3193
ulp-1,7600,7700,8363,8302,9760,7805
ulp-2,5159,5466,5342,4741,6350,4444
ulp-3,739,807,793,802,1130,1087
ulp-4,6521,6817,7276,6475,7670,6139
ulp-5,551,574,601,704,897,859
unc-1,126,113,134,88,129,124
unc-2,728,836,792,444,664,387
unc-3,41,60,38,34,45,28
unc-4,7,12,11,7,11,11
unc-5,792,898,877,545,720,601
unc-6,169,157,149,139,151,124
unc-7,48,41,40,28,53,28
unc-8,12,17,15,7,7,10
unc-9,123,123,119,94,152,115
unc-10,251,274,234,132,194,128
unc-11,3046,2939,3224,3179,4086,3531
unc-13,475,549,461,369,506,285
unc-14,1817,1802,1991,1895,2316,2044
unc-15,2334,2545,2996,2458,3560,2594
unc-16,5854,5757,6191,5651,7195,5695
unc-17,33,35,36,24,41,44
unc-18,1714,1803,1779,1553,2091,1406
unc-22,1454,1744,1534,1085,1629,719
unc-23,435,488,424,411,484,377
unc-24,50,34,26,31,42,39
unc-25,153,150,147,159,190,156
unc-26,2206,2481,2644,2311,2721,2435
unc-27,890,958,1310,1322,1863,1900
unc-29,31,55,29,33,34,45
unc-30,32,24,26,4,20,14
unc-31,230,284,231,183,232,187
unc-32,9075,9854,9992,9198,12264,12637
unc-33,2249,2500,2606,2016,2620,2786
unc-34,2603,2828,2784,2368,3227,3038
tln-1,3944,4281,4202,2487,3607,2260
unc-36,217,223,231,222,269,267
unc-37,8691,9127,9072,6917,9881,7892
unc-38,39,51,42,31,50,34
unc-39,902,1017,1120,429,666,667
unc-40,8506,8537,9084,8380,10557,9113
unc-41,181,228,201,139,207,108
unc-42,22,27,25,13,18,12
unc-43,2645,2710,2673,2505,3037,2524
unc-44,9506,11359,10557,5328,7664,4297
unc-45,3003,3374,3121,2961,3767,3205
unc-46,10,8,9,9,15,15
unc-47,18,22,25,26,22,32
unc-49,199,227,210,202,237,202
unc-50,2595,2639,2653,2574,3609,3376
unc-51,2402,2410,2361,1998,2737,2045
unc-52,952,1197,1101,867,1256,834
unc-53,641,688,704,484,598,409
unc-54,3565,4103,4978,4087,5577,4206
unc-55,14,13,16,8,19,23
unc-57,4805,4733,5131,5180,6413,4447
unc-58,82,94,98,60,85,82
unc-59,5737,5880,6724,6520,8317,7845
unc-60,20179,20956,22246,20501,27644,22436
unc-61,6956,6858,7136,6794,8753,6934
unc-62,2094,2093,2015,1488,2250,2100
unc-63,124,110,123,114,149,206
unc-64,776,913,870,705,887,876
unc-68,1385,1602,1470,1060,1484,855
unc-69,1378,1317,1471,1479,1905,1564
unc-70,8294,9061,8955,5659,7785,4258
unc-71,7157,7095,7707,6830,9082,7321
unc-73,3339,3800,3743,2446,3228,2147
unc-75,145,163,189,84,109,102
unc-76,4036,4019,4301,4160,5282,4220
unc-77,126,154,124,101,146,105
unc-78,1332,1446,1427,1017,1589,1189
unc-79,132,147,147,85,145,79
unc-80,706,739,637,477,651,346
unc-82,552,500,502,416,527,285
unc-83,1915,2135,2007,1529,1922,1308
unc-84,5277,5540,5461,3868,5435,3860
unc-85,3950,4002,4284,4280,5668,5041
unc-86,274,417,374,157,228,148
unc-87,1312,1363,1859,1686,2412,2123
unc-89,1216,1359,1266,816,1304,537
unc-93,67,49,52,63,68,73
unc-94,4009,3820,4329,4292,5003,3935
unc-95,107,119,107,105,183,144
unc-96,178,167,180,161,197,157
unc-97,809,823,886,741,1011,1015
unc-98,149,162,146,134,186,168
unc-101,2332,2514,2700,2395,3334,3124
unc-103,273,259,292,205,274,213
unc-104,516,555,605,470,573,486
unc-105,77,85,92,55,95,81
unc-108,7098,7015,6933,6543,8804,7985
unc-112,1826,2195,2216,1561,2103,1921
unc-115,1951,2274,2062,1714,2172,1443
unc-116,11213,11764,12296,10565,13218,9807
unc-119,599,589,625,519,730,616
unc-120,124,99,112,92,136,106
unc-122,61,80,102,79,96,72
unc-129,2318,3034,2833,1395,1736,2123
unc-130,107,94,92,47,91,66
usp-14,9162,9733,9425,9193,12442,8514
cal-5,319,331,364,417,488,518
pnk-4,919,953,894,826,1019,737
gyg-1,708,633,637,591,752,581
npr-16,26,13,21,19,26,36
slcf-2,42,40,41,33,42,32
vab-1,9296,9519,10250,8804,11639,8957
vab-2,336,343,415,276,451,391
vab-3,600,787,800,356,486,423
vab-7,12,24,16,9,14,13
vab-8,715,730,716,580,786,515
vab-9,222,287,227,232,278,288
vab-10,10100,10756,9713,6146,9113,3736
vab-15,33,38,21,23,35,27
vab-19,477,447,398,348,488,422
vap-1,49,46,47,44,59,37
vav-1,1606,1667,1656,1261,1593,1202
vbh-1,15220,15718,15945,14637,19088,16265
pfd-3,1816,1750,1827,1757,2390,1736
vem-1,1296,1426,1397,1436,1926,1844
spon-1,530,502,577,570,628,682
ver-1,83,73,65,45,73,39
ver-2,55,39,33,60,71,49
ver-3,1068,1180,1247,1013,1342,952
ver-4,9,20,21,9,16,21
vet-6,1258,1304,1156,804,1242,738
vha-1,4505,4420,4538,4426,6258,5739
vha-2,14389,14749,13689,13448,18989,15885
vha-3,1447,1686,1588,1488,1858,2030
vha-4,3973,4063,4121,4087,5817,5915
vha-5,1052,1230,1113,1129,1497,1520
vha-6,1788,2106,1719,2024,2706,1951
vha-7,5007,4922,6012,5664,7248,5953
vha-8,7181,7619,7437,7651,9672,7777
vha-9,3656,3574,3670,3719,5131,4832
vha-10,4027,4484,4100,4419,5559,4926
vha-11,3060,3464,3364,3275,4127,3086
vha-12,6037,6047,6466,6198,8871,5777
vhl-1,242,237,254,220,326,345
vhp-1,2313,2725,2597,1645,2234,1597
vig-1,57221,58775,63653,68970,82963,83942
vit-1,16318,17573,13786,17449,23140,11497
vit-2,402827,441730,315305,340898,432663,213805
vit-3,37161,38661,41616,53489,68201,36659
vit-4,42035,44668,47367,60653,79037,41598
vit-5,135709,138381,148255,182284,217446,118749
vit-6,484676,523128,419968,452883,552273,284509
vps-26,3094,3188,3311,3368,4231,3570
vps-34,2990,3295,3403,2574,3640,3561
vps-35,4792,4962,5278,5122,6430,4577
vps-54,3362,3561,3797,3519,4650,3754
vars-1,2171,2318,2446,2126,2862,2612
glp-4,7645,8130,8151,8184,10757,9320
wah-1,2450,2601,2442,2471,3270,2986
wee-1.1,136,147,111,110,121,97
wee-1.2,550,539,489,339,488,354
wee-1.3,10682,10646,12034,11846,14868,10407
wnk-1,14675,14643,14462,12292,15726,8297
wrk-1,791,982,987,658,871,790
wrm-1,4480,4299,4904,4284,5410,3718
wrn-1,3155,3152,3558,3193,3857,2609
wars-1,3009,3320,3483,3177,4119,4201
prx-10,1918,2126,2191,2183,2607,2612
wrt-1,116,173,89,96,118,123
wrt-2,74,128,61,53,82,67
wrt-3,58,51,42,50,90,92
wrt-4,38,64,41,34,36,53
wrt-5,253,271,287,265,378,447
wrt-6,45,60,60,30,46,47
wrt-7,3,3,1,3,3,1
wrt-8,11,17,15,7,18,10
wrt-9,30,34,25,23,20,25
wrt-10,1322,1730,1473,729,1069,1121
wsp-1,3547,3535,3923,3828,4688,3954
wve-1,2547,2610,2761,2744,3491,3427
xbp-1,5822,5689,6134,5643,7053,6025
xbx-1,22,25,28,14,22,26
xnp-1,7171,7772,7561,5955,7408,4917
xol-1,136,121,104,77,126,88
xpa-1,1671,1647,1922,1864,2477,2443
xrn-2,4845,5010,4987,4724,6295,5747
xtr-1,69,80,52,83,85,70
xtr-2,4,3,2,0,3,3
yrn-1,0,1,0,0,1,1
yars-2,1941,1997,2028,1846,2413,1741
zag-1,88,164,147,72,96,88
zak-1,204,260,214,200,231,200
zen-4,10480,11215,11249,9539,12738,8711
zfp-1,8191,7902,8832,7498,9965,6982
zhp-3,2033,2087,2085,2263,2719,2210
zif-1,5209,4947,5867,5959,7295,6239
zig-1,161,179,154,118,178,172
zig-2,104,110,72,63,98,104
zig-3,781,804,587,557,725,506
zig-4,325,431,401,186,281,289
zig-5,66,52,66,57,66,40
zig-6,86,70,58,61,102,87
zig-7,667,565,652,639,774,717
zig-8,43,84,69,43,52,51
zip-1,339,388,357,373,485,384
zmp-1,22,48,63,43,48,51
zyg-1,3127,3081,3249,3032,4080,3362
zyg-8,2206,2310,2485,2227,2960,2596
zyg-9,11350,11852,12041,10134,12890,7672
zyg-11,10835,10676,13246,13280,15427,15130
zyg-12,8045,8152,8145,7307,9965,7329
zyx-1,910,978,997,977,1336,1136
tufm-1,7127,7345,8123,7820,9694,7015
tufm-2,2425,2416,2673,2664,3281,2579
npr-3,28,29,31,21,31,31
mak-2,1810,2027,1937,1294,1773,1394
rfp-1,6823,7546,7400,7028,8511,7236
wwp-1,13285,13616,13579,12907,17091,14313
alx-1,8767,9257,9362,8143,10373,7060
mdt-1.2,542,558,608,554,722,597
mdt-4,3166,3165,3408,3275,4295,4065
mdt-8,2860,2834,2932,2804,3621,2812
mdt-10,993,1049,1154,1149,1392,1573
mdt-11,1160,1163,1244,1285,1679,1798
mdt-15,7206,7260,7233,6492,8377,6311
mdt-17,5367,6062,5878,5464,7312,7116
mdt-18,1351,1371,1473,1332,1872,1756
mdt-19,2316,2301,2448,2495,3113,3313
mdt-20,1081,1117,1193,1100,1472,1502
immp-1,219,289,278,215,364,392
mdt-22,1544,1629,1637,1732,2242,2288
mdt-27,3008,2988,3282,3168,3819,3249
plin-1,14759,14655,15224,15593,20386,15342
mdt-29,2481,2541,2645,2551,3152,2955
mdt-31,651,695,729,700,888,905
ssl-1,11246,11897,11736,8759,11710,7956
trr-1,9993,10947,10152,6725,10450,4671
mys-1,3581,3633,3783,3586,4519,3432
epc-1,6159,6992,6661,5191,7063,6140
sod-5,9,12,21,9,16,11
tag-180,102,114,86,73,99,67
pbrm-1,16843,18269,17117,12929,17504,9935
algn-10,1664,1610,1670,1764,2286,2041
cpna-5,164,162,161,105,152,106
tag-189,1262,1330,1449,1453,1917,1976
wts-1,1006,1107,1151,1029,1298,981
nfx-1,7791,7618,7698,6955,9562,5559
tag-191,19,16,18,12,17,16
utp-20,2972,3110,3195,2600,3487,2539
chd-7,10345,11466,10584,6284,8700,5390
scpl-1,3409,3227,3549,3728,4549,3658
tag-196,3382,3004,3146,2736,3152,2746
crn-7,235,248,221,214,309,280
ant-1.2,2,0,1,1,0,1
dmd-6,1480,1606,1535,1343,1869,1439
vps-52,737,713,741,678,882,657
wht-6,60,70,52,89,88,78
ebp-3,430,473,503,417,517,516
2L52.1,1059,1142,1053,739,947,902
rga-9,845,932,1008,754,1019,1053
pot-3,404,457,481,473,629,601
3R5.2,240,201,228,231,276,257
4R79.2,15,33,23,24,26,28
cTel55X.1,1159,1169,1111,933,1383,1146
6R55.2,2,2,0,2,1,1
ugt-49,285,382,261,332,364,378
AC3.5,1030,1102,1178,1305,1525,1348
ugt-1,83,101,92,98,86,117
ugt-2,185,213,202,201,233,239
AC8.2,4,4,1,2,4,3
AC8.3,151,143,130,93,114,97
AC8.4,74,93,70,64,59,35
AC8.5,67,67,66,63,77,58
AC8.6,111,119,107,122,135,113
AC8.7,44,45,29,28,43,43
sfxn-1.1,1,1,2,2,2,4
AH6.3,0,3,1,2,1,1
acs-10,12,13,8,5,15,7
AH10.2,0,1,2,1,0,1
AH10.4,7,4,1,2,1,2
B0001.2,4910,5140,5298,5529,6777,5846
B0001.3,2560,2523,2642,2388,3262,2578
B0001.4,3009,3059,3268,3381,4237,3749
B0001.5,1768,1786,1690,1573,2056,1341
eri-12,4445,4855,4838,3469,4278,3265
B0001.7,3224,3387,3501,3359,4129,2833
B0001.8,2424,2493,2615,2445,3192,2711
B0019.2,2506,2503,2804,2574,3214,2489
B0024.3,34,29,27,19,37,25
B0024.4,340,336,506,382,602,628
trx-2,1493,1712,1604,1649,2114,2067
asps-1,3325,3425,3745,3525,4501,3663
B0024.11,2978,3126,3529,3228,4135,3505
B0024.13,2372,2214,2548,2641,3292,3339
crm-1,1708,1690,1742,1292,1609,1306
B0024.15,0,10,10,5,11,11
znf-207,6143,6372,6230,6229,8821,8393
B0035.3,2195,1993,2353,2505,3386,3429
pfd-4,1712,1943,2100,2032,2724,2877
gspd-1,2915,2962,3035,3207,4141,4008
edg-1,5034,5172,5897,5562,7051,4961
leo-1,5565,5621,6082,5722,7132,6159
sart-3,5074,5178,5645,5554,6904,5073
B0035.13,944,1036,982,986,1346,1251
B0035.15,1367,1380,1576,1581,1943,1686
mttu-1,481,542,552,541,640,712
B0198.2,50,53,49,59,66,55
B0198.3,177,175,171,108,161,97
spe-42,4,4,8,6,6,12
npp-22,7545,7633,8188,8045,10570,8785
calf-1,39,46,56,27,41,40
B0250.3,11407,12354,12179,12103,15734,12295
B0250.4,666,725,658,409,575,496
B0250.5,1992,2174,2064,2069,2904,2609
srbc-79,0,3,1,1,1,2
B0250.7,599,646,607,614,840,679
B0250.8,16,14,6,12,9,7
dhcr-7,52,63,63,42,72,58
srbc-78,0,0,0,0,0,0
memb-1,315,354,371,355,506,479
B0272.3,1909,1887,1992,1890,2566,1942
B0272.4,108,90,105,106,193,175
pals-26,27,45,58,45,53,49
pals-27,36,46,50,32,34,27
B0284.3,188,200,170,106,190,187
pals-28,6,5,4,4,5,4
cdk-12,3600,3819,3939,3422,4615,3925
B0285.3,1321,1256,1294,1407,1636,1728
lcmt-1,2356,2519,2685,2642,3555,3901
B0285.6,37,48,33,42,47,32
mnp-1,178,167,151,118,150,108
cyp-29A4,258,239,306,306,387,431
pitr-4,87,62,64,41,75,66
ttr-18,290,372,310,247,406,392
B0334.3,4759,4909,4658,4457,6073,5160
B0334.4,3115,3174,3509,3574,4729,4840
B0334.5,1470,1521,1663,1576,2033,1740
B0334.6,47,43,31,40,53,46
B0334.9,47,51,39,54,52,51
B0334.10,1,1,1,2,1,1
B0334.13,1,11,13,1,2,7
acly-2,11979,11957,13603,13070,16468,11656
B0365.2,4,6,10,2,8,12
clec-225,88,108,67,70,91,85
clec-41,4657,4196,4875,6590,9799,9169
dhc-3,26,24,30,24,42,31
B0379.1,104,119,111,156,192,171
B0379.2,3,1,2,0,3,1
B0379.6,0,0,0,0,0,0
B0379.7,5,4,3,2,13,1
B0391.1,0,0,0,0,0,0
B0391.3,0,0,0,0,0,0
fbxa-153,475,507,643,488,671,789
fbxa-154,9,24,20,9,13,7
fbxa-139,17,28,13,11,22,21
B0391.10,504,552,515,553,654,534
fbxa-152,13,14,16,9,10,14
rbg-3,7023,7044,7882,8012,10169,8920
B0393.3,7650,7832,8477,7665,10027,6934
B0393.4,2,4,5,5,5,6
B0393.5,110,144,134,94,142,117
B0393.6,2912,2788,2997,3105,4098,3262
B0393.7,6,6,6,5,8,8
B0393.8,566,558,559,526,825,815
mboa-1,34,34,34,19,30,45
B0395.3,946,1069,1076,962,1278,944
kcnl-1,84,67,78,77,119,89
oac-1,4,11,11,9,7,12
B0457.2,240,210,217,230,311,264
B0457.4,3,5,4,3,3,1
B0457.6,116,133,121,120,163,126
B0462.1,43,48,48,29,41,34
fbxb-119,561,493,457,321,490,420
B0462.4,4,6,1,14,7,14
ctr-9,7888,8234,8083,6638,8658,5849
nlp-36,806,824,794,936,1276,1268
B0464.6,6662,6811,7041,6996,8854,6980
tag-342,2721,2863,3001,2882,3651,3539
B0464.9,1962,2024,2178,2097,2624,2232
B0491.1,1328,1283,1438,1369,1880,1730
rmd-3,2,4,5,4,5,4
lgc-20,32,40,35,14,45,28
B0491.5,6125,6289,6198,6159,8441,6225
B0491.6,1339,1381,1488,1500,1771,1647
B0491.7,372,416,445,421,569,575
thoc-7,2685,2562,2649,2706,3391,2760
B0513.4,5267,6004,5968,6161,8311,7852
prdh-1,489,401,490,424,531,480
B0513.6,9,15,8,10,20,16
B0513.7,243,264,269,268,333,323
vamp-8,128,150,155,117,156,168
exos-4.1,621,653,664,694,876,816
B0564.2,708,837,861,864,1132,1076
best-1,682,876,636,689,826,777
best-2,45,69,54,49,54,57
B0564.6,48,62,45,46,49,49
B0564.7,2199,2210,2381,2202,3051,2470
B0564.9,45,50,54,44,66,51
BE10.1,1,4,5,1,0,1
agmo-1,54,83,72,48,65,71
BE10.3,317,338,338,217,312,314
BE10.4,34,38,38,21,41,25
C01A2.1,46,49,40,17,32,26
C01A2.2,76,78,120,75,126,151
oxa-1,1326,1409,1382,1400,1908,1793
C01A2.4,1627,1704,1672,1722,2185,1954
tads-1,4000,4276,4355,4017,4985,5291
C01A2.6,11,12,24,16,18,17
nlp-38,77,105,80,68,79,94
C01B9.1,38,51,48,55,47,37
cpna-3,4351,4311,5036,4918,6375,6387
C01F6.2,94,99,89,104,116,114
C01F6.9,2525,2432,2377,2394,3457,3112
C01G6.2,13,10,6,9,10,11
C01G6.3,18688,20941,18998,13626,20251,17026
C01G6.4,2449,2361,2445,2463,3299,3012
C01G6.5,12502,13315,13975,11995,14079,8333
acs-7,139,132,129,113,152,164
C01G6.9,17,17,20,12,18,15
C01G10.1,6,18,9,9,2,1
C01G10.4,21,30,13,23,28,36
C01G10.5,20,34,44,41,40,54
C01G10.6,19,15,10,5,19,15
C01G10.7,1154,1197,1351,1399,1877,1856
ahsa-1,8241,8824,8273,7895,10940,10009
C01G10.9,186,218,201,160,250,232
C01G10.10,468,515,490,477,687,522
C01G10.13,0,0,0,0,0,5
C01G10.14,1,1,3,3,1,5
C01G10.15,34,21,24,31,34,38
C01G10.16,5,1,3,3,1,1
madf-5,232,248,252,233,312,259
nspb-7,2,2,1,0,1,6
C01G12.3,174,180,171,108,213,198
C01G12.5,0,1,0,0,0,0
nspb-10,2,1,2,0,3,0
C01G12.7,13,18,10,3,15,15
catp-4,44,60,54,26,61,22
C01G12.9,1,3,2,0,1,1
nspb-8,4,3,5,2,3,3
nspb-9,0,1,0,0,3,4
mlt-2,62,56,64,62,81,76
C01H6.3,16,18,18,18,19,21
C01H6.4,182,183,166,248,252,264
cnnm-4,572,599,647,630,774,862
swsn-9,7787,8331,8419,7495,9493,8263
C01H6.8,71,96,85,74,78,78
hasp-1,2112,2339,2138,1692,2194,1312
C02B4.3,1,2,0,2,0,0
olrn-1,432,481,494,242,341,284
lron-3,504,514,504,369,559,473
jud-4,6,9,8,9,7,8
C02F4.4,18,21,18,22,11,24
C02F4.5,0,0,0,0,0,0
C03A3.1,104,118,117,61,78,86
C03A3.2,1674,1750,1808,1941,2481,2158
C03A3.3,3,4,4,7,3,4
C03C10.2,4,6,3,0,7,1
rei-1,3241,3268,3318,3454,4327,4344
C03C10.5,17,31,17,19,18,19
C03C10.7,8,5,6,8,7,1
C03C11.1,7,3,3,7,8,4
C03D6.1,82,84,75,68,99,78
asfl-1,2363,2341,2532,2505,3174,2665
lab-1,1317,1370,1733,1721,2132,2368
C03E10.1,0,0,0,0,0,0
C03E10.3,76,59,80,72,67,88
clec-223,1279,1311,1157,1207,1375,631
clec-222,288,330,347,442,532,575
C03H12.1,1197,1262,1179,934,1296,1019
C04A11.1,45,40,41,29,43,31
C04A11.2,564,618,610,383,566,403
gck-4,2093,2391,2299,1899,2417,1606
C04A11.5,13,30,21,29,25,33
C04B4.1,16,14,27,13,13,12
C04B4.2,2195,2074,2394,2497,3154,2434
lips-2,1,2,1,0,2,3
C04B4.4,2,2,1,1,1,1
C04B4.5,1,1,1,1,0,3
C04B4.6,0,0,0,0,0,0
C04C11.1,54,54,59,59,71,67
arrd-25,1167,1324,1338,913,1209,956
C04F12.1,2534,2512,3088,2787,3436,2315
C04F12.5,485,506,537,587,823,693
C04F12.6,2,2,4,0,0,2
C04F12.7,42,72,40,66,64,52
C04F12.8,167,162,146,162,217,207
rnh-1.3,146,122,151,131,191,200
ttr-39,54,63,66,63,77,84
ttbk-5,37,37,35,23,33,35
C04G2.5,7,3,3,4,3,3
spch-1,1,9,11,3,8,6
C04G2.9,4,10,14,12,37,9
C04G2.10,163,149,156,185,225,209
irld-21,16,11,7,8,14,13
C04H4.1,0,2,0,0,0,0
C04H5.1,714,651,720,718,1107,1007
clec-147,313,332,289,243,370,364
gcy-29,20,8,11,6,14,6
C04H5.7,423,525,478,539,740,776
nlp-41,34,30,28,19,35,36
C05A9.2,326,405,357,228,335,324
C05B5.1,6,9,14,5,7,6
C05B5.2,1,3,3,11,7,8
C05B5.4,218,246,305,120,191,220
C05B5.5,19,35,19,32,48,40
fbxa-155,0,6,4,5,4,1
C05B5.8,236,246,220,166,294,272
C05C9.1,5,20,8,6,11,16
C05C9.2,7,3,2,1,2,2
C05C9.3,39,49,35,41,42,25
pho-10,13,23,20,12,27,25
C05C10.2,5012,5398,4834,4475,5628,3819
C05C10.3,3523,3786,4038,4171,5279,4356
pho-11,913,760,915,1568,2113,1930
C05C10.5,9144,9406,9737,10571,13189,11121
ufd-3,12037,12328,13017,13033,16799,11491
C05C10.7,312,352,357,359,493,486
C05C12.1,98,137,132,42,58,81
C05C12.4,540,670,539,660,780,680
C05C12.5,2,4,1,3,4,2
C05C12.6,38,33,41,47,65,50
C05D12.1,73,89,72,79,110,89
C05D12.2,189,220,192,216,255,251
C05D12.4,225,278,200,174,257,213
C05D12.5,211,247,226,212,219,246
C05E7.1,36,51,51,37,38,53
C05E7.2,13,48,21,9,19,10
C05E7.3,103,132,139,67,77,106
frpr-2,6,7,3,3,5,3
C05G5.1,137,114,113,120,143,163
C05G5.2,1294,1295,1422,1192,1529,1030
C05G5.3,177,142,156,127,152,148
sucl-1,2428,2675,2570,2371,3212,2533
C05G5.5,315,388,444,182,268,279
cdc-48.1,27975,28648,31162,29425,38747,23373
C06A1.2,26,34,25,21,29,52
C06A1.3,6,7,9,9,6,11
rpb-6,3834,3749,3912,3772,5115,4914
C06A1.6,0,1,0,1,2,1
C06A12.3,251,249,234,218,317,318
lact-6,2,5,6,3,8,7
C06A12.8,0,1,0,0,0,1
C06B3.1,0,0,0,0,0,0
oac-3,26,14,14,22,26,18
cyp-35C1,441,572,431,784,920,1037
stdh-1,632,701,766,743,981,1158
stdh-3,1,1,1,0,4,0
C06B3.6,1790,2258,1882,1517,1755,1623
C06B3.7,129,151,136,92,100,159
nhr-150,120,168,136,76,118,109
C06B8.2,224,200,201,234,345,244
C06B8.3,2,1,0,0,0,0
str-264,12,16,7,11,10,5
C06B8.7,1761,1896,1884,1099,1612,905
C06B8.11,0,0,0,0,2,1
C06C3.3,15,14,8,6,12,13
C06C3.4,17,29,17,19,26,32
C06C3.5,24,41,49,29,36,33
C06C3.7,78,62,56,64,75,52
lido-17,12,6,12,8,12,5
C06C6.1,3,1,3,0,0,0
C06C6.6,0,0,0,0,2,1
C06C6.7,2,0,4,1,3,1
C06C6.8,0,0,0,0,1,1
C06C6.9,0,1,0,0,0,0
swt-3,226,213,301,289,433,501
atp-5,13309,14427,13925,14728,19019,17818
C06H2.2,1283,1406,1435,1548,1701,1899
jmjd-5,1160,1151,1455,1351,1705,1788
folt-1,165,182,150,138,187,177
glb-3,17,11,10,13,15,14
lmtr-3,2301,2176,2514,2560,3674,3661
C06H2.7,1084,1156,1297,1392,1690,1655
fbxa-156,328,324,309,355,427,384
fbxa-157,141,133,122,134,152,184
C06H5.6,290,323,294,339,463,396
dcar-1,562,621,596,448,573,580
tiar-3,79,69,83,87,84,88
C07A4.2,4,9,11,14,17,14
C07A4.3,50,50,40,38,52,40
clec-162,3,4,2,0,6,3
bud-31,2403,2434,2626,2654,3448,3208
C07A9.5,7,7,3,3,4,1
ugt-60,117,143,110,132,173,144
set-3,2347,2474,2701,2391,2903,2252
best-5,55,58,53,87,103,89
C07A9.9,294,318,357,305,364,380
C07A9.10,0,1,0,0,1,0
C07B5.2,2,4,1,0,3,3
C07B5.3,11,6,4,7,11,6
C07B5.4,137,165,121,126,159,124
C07B5.6,6,10,12,6,4,3
C07C7.1,6,5,4,2,8,10
stip-1,4233,4378,4375,3937,5173,3633
pro-2,3493,3389,4000,3489,4297,3667
C07E3.3,769,698,774,690,869,535
C07E3.4,4,3,2,5,3,1
ceh-57,9,6,6,2,5,5
ceh-58,826,843,822,630,833,670
C07E3.8,35,35,25,22,27,26
C07E3.9,372,361,325,269,392,396
C07E3.10,8,15,13,4,12,12
C07H4.1,107,152,138,132,188,200
ugt-17,770,1071,652,743,802,747
C08B6.2,36,29,26,38,32,18
C08B6.3,177,173,165,177,198,212
C08B6.4,63,96,57,50,71,49
C08B6.5,3,1,0,3,0,0
C08B6.6,1,0,1,1,1,0
wdr-20,7959,8540,8997,8345,10641,8475
C08B6.8,1618,1755,1843,1790,2447,2472
C08B6.10,85,59,81,81,97,92
C08B6.11,173,153,136,172,199,165
srxa-18,1,0,1,0,0,1
swsn-7,12846,13203,13501,11181,15193,9839
arp-6,3208,3412,3695,3632,4573,4372
algn-6,1605,1633,1845,1884,2324,1939
C08B11.9,1352,1458,1457,1345,1967,1710
C08E8.1,8,7,9,5,12,9
C08E8.2,0,0,0,0,2,0
C08E8.3,16,8,12,8,15,7
C08E8.4,698,689,1121,951,1195,1301
C08E8.5,0,0,0,0,0,0
C08E8.6,0,1,0,0,0,1
pfd-1,2480,2577,2699,2562,3452,3400
C08F8.2,2221,2374,2615,2451,3080,2931
C08F8.3,3311,3225,3396,3254,4325,2803
mboa-4,55,54,45,36,63,38
fbxb-9,26,27,26,15,24,21
C08F8.6,5,5,7,8,11,2
C08F8.9,410,488,470,454,712,776
C08F11.1,18,27,20,19,20,24
C08F11.2,0,1,0,0,2,3
C08F11.3,36,31,33,48,62,60
fbxa-98,183,194,220,202,255,284
