external_gene_name,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
arf-3,11729,12278,11281,11060,14561,12125
arf-6,1282,1325,1475,1448,1883,1904
arg-1,6,5,3,2,3,2
ark-1,2189,2202,2506,2395,2779,2073
arl-1,1874,1873,1991,2090,2521,2624
arl-3,24,31,30,16,35,26
arl-5,784,874,949,941,1108,1342
arf-1.1,62,75,77,63,82,94
arl-7,34,49,57,26,43,51
arl-8,4918,4994,5242,5445,7082,7135
arl-6,20,20,22,5,22,17
arr-1,1062,1113,1093,904,1151,987
aars-1,1120,1173,1281,1255,1574,1549
aars-2,13220,13873,14056,12197,16576,9739
art-1,4639,4982,4715,4618,6144,4447
arx-1,2997,3312,3375,3067,3988,3427
arx-2,4900,4858,5036,4815,6410,5399
arx-3,3271,3180,3445,3004,4415,3735
exos-4.2,2024,2169,2430,2279,3116,3517
arx-5,1675,1608,1786,1769,2422,2289
arx-6,1982,1980,2106,1873,2582,2441
arx-7,913,859,984,985,1421,1343
asb-1,9573,9971,10768,11276,14781,13341
asb-2,4231,4627,4298,3967,5272,4543
trip-4,2333,2474,2489,2147,2796,2166
asg-1,4200,4359,4546,4866,6729,7116
asg-2,1481,1736,1620,1391,2016,1973
asm-1,434,478,402,371,451,435
asm-2,232,332,235,244,364,282
asm-3,189,181,161,237,409,316
asp-1,6912,8970,6458,9386,13684,9232
asp-2,1903,2354,1839,2897,4052,2937
asp-3,6561,7779,5588,8638,12113,7128
asp-4,8845,9818,10660,11052,14628,14277
asp-5,4867,5620,4596,7545,10630,6474
asp-6,28412,33106,26467,32108,46744,32576
atf-2,173,231,223,117,152,110
atf-5,672,721,585,655,736,530
atf-6,1182,1224,1211,950,1248,877
atf-7,8163,8620,9274,8267,10762,7753
atgp-1,887,939,812,668,1021,661
atgp-2,493,471,496,463,613,384
atl-1,6003,6568,6300,5527,7087,5992
atm-1,4069,4476,4310,3408,4541,3016
atn-1,2062,2401,2144,1782,2512,1635
atp-2,53609,55535,57694,57305,76859,55583
atp-3,16498,17609,16675,16009,21012,16725
atx-2,10950,10726,11301,10354,13016,10744
avr-14,100,118,113,91,134,119
avr-15,166,156,171,155,221,244
baf-1,4517,4587,4391,4062,5776,5669
bag-1,2025,2035,2290,2240,2996,2889
bam-2,1051,1170,1122,841,1144,905
bar-1,474,466,453,392,546,419
bas-1,175,152,176,179,291,264
pah-1,1919,1886,1663,1011,1630,1130
bbs-1,24,31,22,16,20,22
bbs-2,32,38,26,18,31,40
bbs-8,20,29,14,17,19,23
bca-1,591,621,476,541,666,549
bcc-1,133,151,133,93,133,122
bec-1,1853,1763,1945,1901,2437,2571
ben-1,1530,1693,1815,1485,1886,1627
bir-1,2251,2183,2231,2040,3074,3026
bir-2,1985,2026,2299,2143,2893,2364
bli-1,0,54,37,17,20,51
bli-2,1,29,37,6,9,58
bli-3,520,556,533,403,649,437
bli-4,10339,10394,10522,10065,12949,9234
bli-5,2,6,6,10,10,7
bli-6,11,91,62,46,80,52
bmk-1,8069,8601,8223,6166,8546,6035
bpl-1,1652,1749,1703,1575,2065,1647
bra-1,401,398,401,262,402,406
F23H11.5,4296,4457,4366,4397,6387,6161
brc-1,1990,2075,2150,2057,2620,2114
brd-1,2738,2879,2773,2496,3235,2406
bre-1,561,684,652,554,770,718
bre-2,98,95,73,61,94,86
bre-3,3543,3576,3929,3993,5079,4050
bre-4,951,920,956,981,1448,1281
bre-5,625,788,686,770,972,958
brf-1,3191,3180,3630,3295,3932,2705
bro-1,57,69,60,38,55,57
brp-1,10310,10263,11289,10874,13401,10469
btf-1,3563,3724,3954,3355,4422,2951
bub-1,11286,11882,11593,9406,12766,7237
byn-1,5615,5609,5687,5145,6685,5854
cab-1,2472,2548,2443,2222,2807,2169
cah-1,66,80,72,65,101,116
cah-2,68,63,55,60,53,51
cah-3,601,561,536,673,900,831
cah-4,2514,2939,2138,2179,3032,2574
cah-5,273,312,235,354,432,386
cah-6,55,55,43,39,64,45
cal-1,173,193,198,162,206,219
cal-2,188,175,163,161,168,202
cal-3,69,75,52,87,76,76
cal-4,72,78,87,63,87,87
cam-1,5447,6048,6281,4992,6255,5196
cap-1,4574,4659,4489,4334,5908,5417
cap-2,6218,6606,6562,6305,7930,7248
cas-1,3152,3327,3178,2689,3645,3135
cat-1,23,38,31,21,16,25
cat-2,49,49,54,21,56,41
cat-4,401,414,426,504,611,654
cav-1,23066,25144,23342,13671,19996,20218
cav-2,33,43,55,58,87,63
C04A11.t1,2,3,2,0,2,1
C05C9.t1,0,0,0,0,0,0
C05C9.t2,0,0,0,0,0,0
cbp-1,12947,13335,13192,9597,12930,7692
cca-1,395,388,386,316,397,336
ccb-1,239,223,231,247,300,234
ccf-1,4454,4575,4903,4665,6041,4872
ccg-1,1935,1871,2173,1907,2375,2086
cox-5B,6714,6856,6650,6720,10001,9836
cyp-13A7,61,59,64,54,54,65
cyp-14A5,314,390,411,268,384,321
cyp-31A1,395,427,388,306,445,403
cyp-44A1,1781,1921,2096,2062,2672,2755
ccr-4,21087,22276,22036,20012,27002,25386
cct-1,13377,14051,13586,13140,17675,13025
cct-2,10996,11696,12033,11466,14998,9681
cct-4,11362,11733,11389,10866,14757,10142
cct-5,18642,20307,19223,17703,24410,18973
cct-6,12760,12558,12773,12378,16896,12189
cdc-6,4687,4821,5021,4786,6203,4258
cdc-14,8350,8512,9524,7886,10288,7868
cdc-25.1,8797,9286,10359,10301,13159,10296
cdc-25.2,3723,3988,4055,2791,3945,3103
cdc-25.3,1727,1830,2022,1982,2650,2475
cdc-25.4,2,0,3,2,4,0
cdc-42,7552,7497,8206,8155,10175,9343
cdd-1,34,61,50,50,62,44
cdd-2,913,916,1006,1018,1370,1375
cdf-1,1134,1071,1104,975,1304,964
cdh-3,658,873,799,631,801,566
cdh-4,10618,12717,11063,6220,9508,5455
cdh-5,150,188,141,83,178,100
cdh-7,69,98,70,26,54,47
cdh-9,194,207,237,74,135,119
cdh-10,137,182,200,105,145,144
casy-1,1595,1751,1722,1332,1821,1342
cdk-1,11999,12786,12682,12129,16134,13669
cdk-4,592,713,756,581,705,784
cdk-5,1639,1629,1815,1740,2298,1754
cdk-7,3406,3494,3860,3718,4853,4878
cdk-8,3796,3787,4100,4073,5199,4623
