"249_1813_B"	"291_37_C"	"294_1781_A"	"299_1781_A"	"310_37_C"	"318_1813_B"
"aap-1"	49.1046690191161	43.5504178203468	49.0927610263395	47.2934586096638	44.6301367726051	42.8737049033526
"aat-1"	2.25701310739162	1.86336617775846	1.09642578217911	1.6033652929694	1.71315123556687	1.83819360237739
"aat-2"	2.23721541688646	1.28357839777674	2.38339716671972	1.78141448833366	1.48855003679928	2.81928931596929
"aat-3"	11.2565196372976	4.20208809988642	5.6751291604639	5.2295456788994	5.57500103541045	6.16139765002527
"aat-4"	2.75742837845228	4.14790655628009	3.40181487376165	3.41544222914937	5.0996698899809	3.29852356267276
"aat-5"	0.676438353309518	1.21520973990555	0.801509006743141	1.34286986549633	1.0295133729143	2.21923340159913
"aat-6"	6.73765341098482	11.6537119169748	10.2077053748139	8.85293750616864	11.0659548591753	7.7689394645843
"aat-7"	0.028428713229575	0.0957594168796163	0.183736716600527	0.423276512826936	0.31039668862852	0.308040601075306
"aat-8"	0.408604497115244	0.737327887141718	0.22006989928895	0.637343404969739	0.492482972624647	0.316246600694115
"aat-9"	29.2935748236813	22.4539028646565	31.7314192918708	29.7090051416934	28.852036956174	30.7729228304267
"abf-1"	0.662455131535678	0.41839070805251	0	0.821943926070911	0.164385561313836	0.598171864878791
"abf-2"	1.07417654708509	0.804058120503147	0.514257514060692	1.0662311711378	0.118467806756898	0.107771187946039
"abf-3"	0	0	0	0	0	0
"abf-4"	0.112147915968638	0.377759589422738	0	0.333955169962669	0	0.101265315707827
"abf-5"	0.141017676515021	0.71250694836665	0.531654014123801	0.419923827576822	0.839831184534052	0.82766849620605
"abf-6"	0	0.461302575545075	0.262256680959726	0.724996693765111	0.543736856653457	0.714483060827445
"abl-1"	6.53001392917461	3.37301352865408	5.03192424493207	4.33100781366101	4.94257941016603	4.14629527832591
"abt-1"	0.152569219014676	0.0982484376397197	0.135342294710785	0.142532431288415	0.19597824953105	0.810377762753246
"abt-2"	1.78088200353317	1.44573748713557	2.38065762974648	2.09200132931787	2.84862679443754	1.93778089510772
"abt-3"	0.00941568003174333	0	0.0101423639286981	0.0467301747303427	0	0.102024024551826
"abt-4"	10.8169152184652	11.5548559663849	15.4360707475087	12.8093425045634	19.6839408914583	7.86111726860633
"abt-5"	0.115602211819493	0.0973487641212707	0.162839293994452	0.150053946295401	0.0264795888567968	0.489803788213445
"abu-1"	0	0	0	0	0	0
