wormbase_gene,Nr35.counts,Nr36.counts,Nr37.counts,Nr38.counts
WBGene00000101,30275,28661,25060,29722
WBGene00000102,21297,19672,17536,19982
WBGene00000103,1066,829,893,979
WBGene00000105,5884,5324,5853,5987
WBGene00000106,10459,10190,11270,11755
WBGene00000107,19601,17150,17397,19341
WBGene00000116,1095,1015,931,1042
WBGene00000117,4276,3590,3688,4158
WBGene00000118,4180,3666,3420,4134
WBGene00000108,1,0,0,0
WBGene00000109,6136,5408,5242,5774
WBGene00000110,12956,11545,11431,12475
WBGene00000111,166,145,153,153
WBGene00000112,7510,7076,7910,7885
WBGene00000113,1388,1284,1398,1471
WBGene00000114,72306,70789,75229,79438
WBGene00000115,6690,6199,6156,6698
WBGene00001132,11282,9230,9715,9542
WBGene00044330,406,317,351,370
WBGene00007010,29193,25927,24562,29008
WBGene00000120,1256,1141,1047,1268
WBGene00000121,6783,6850,5872,7536
WBGene00000122,10564,10310,10158,11246
WBGene00000123,14903,14931,14727,16457
WBGene00018877,1724,1616,1632,1804
WBGene00010284,14693,12804,11538,13875
WBGene00018594,201,163,144,155
WBGene00010272,1677,1492,1394,1515
WBGene00000133,6,6,6,2
WBGene00000134,18,14,10,10
WBGene00000135,93,77,54,62
WBGene00000136,879,753,893,985
WBGene00000137,1322,1141,1040,1161
WBGene00000138,382,351,365,385
WBGene00000139,120,115,101,119
WBGene00000140,2734,2337,2004,2305
WBGene00013038,15576,15362,15180,16939
WBGene00019608,9352,8780,8548,10075
WBGene00012835,2031,2098,2107,2326
WBGene00006439,265536,260192,275184,292772
WBGene00007057,0,1,0,1
WBGene00010485,206,170,174,154
WBGene00000142,3265,3071,2956,3275
WBGene00000161,4117,3660,3749,3813
WBGene00000160,17407,15940,16052,17900
WBGene00000163,11766,10860,9387,11393
WBGene00000144,689,637,623,725
WBGene00000145,1017,996,867,1057
WBGene00000143,3619,3467,3027,3522
WBGene00000162,7066,7007,6555,7856
WBGene00000146,8552,7718,7092,8181
WBGene00000158,5331,5082,4912,5237
WBGene00000147,1004,998,955,1163
WBGene00000148,5079,4780,4334,4791
WBGene00000149,31444,27339,25827,28988
WBGene00000150,1048,892,879,889
WBGene00000164,1038,918,907,1040
WBGene00000151,2197,1956,1567,2071
WBGene00000155,7816,7329,7410,7969
WBGene00000156,17977,16968,15344,18443
WBGene00000159,1120,1079,1098,1163
WBGene00000157,703,619,655,756
WBGene00000165,2015,1729,1971,2041
WBGene00000166,60,51,48,41
WBGene00019424,41,23,31,38
WBGene00000168,3566,3516,3573,3995
WBGene00017244,2858,2635,2416,2726
WBGene00000169,2844,1946,2408,2949
WBGene00000178,1204,1091,1125,1283
WBGene00000179,872,810,916,906
WBGene00013272,27,18,16,19
WBGene00000170,30473,28008,31679,31551
WBGene00000171,27,25,26,30
WBGene00000172,684,564,585,609
WBGene00000173,13,5,9,4
WBGene00000174,24,34,22,21
WBGene00000175,3297,2901,3319,3487
WBGene00000176,4780,4457,4671,5272
WBGene00000177,113,78,87,94
WBGene00000180,622,567,525,628
WBGene00000181,4118,3768,3666,3980
WBGene00000190,12,11,17,18
WBGene00000182,10821,10388,9707,11130
WBGene00000183,8916,8553,8688,9421
